link,title,post_day,price,street,locality,region,area,old_address
https://alonhadat.com.vn/-ban-gap-can-nha-ngay-cho-binh-chanh-dang-cho-thue-8trieu-th-630trieu-120m2-18261891.html,🔥🔥🔥Bán gấp căn nhà NGAY CHỢ BÌNH CHÁNH đang cho thuê 8triệu/th - 930Triệu - 120m2,2026-05-27,Giá: 930 triệu,Đường Trịnh Như Khuê,Xã Bình Chánh,Hồ Chí Minh,120 m²,"Đường Trịnh Như Khuê, Xã Bình Chánh, Huyện Bình Chánh, Hồ Chí Minh (cũ)"
https://alonhadat.com.vn/ban-nha-nguyen-thuong-hien-q-binh-thanh-gia-3ty860-so-hong-chinh-chu-18711487.html,"Bán nhà Nguyễn Thượng Hiền, Q.Bình Thạnh - Giá 3Tỷ860, sổ hồng chính chủ",2026-05-27,"Giá: 3,86 tỷ",Đường Nguyễn Thượng Hiền,Phường Bình Lợi Trung,Hồ Chí Minh,72 m²,"Đường Nguyễn Thượng Hiền, Phường 5, Quận Bình Thạnh, Hồ Chí Minh (cũ)"
https://alonhadat.com.vn/ban-nha-hem-bach-dang-binh-thanh-dt-40m2-2-tang-2-phong-ngu-full-noi-that-4-15-ty-18651221.html,"Bán nhà hẻm Vũ Tùng, Bình Thạnh, DT 40m2, 2 tầng, 2 phòng ngủ, Mới, ở liền, Giá 3.9 tỷ",2026-05-27,"Giá: 3,9 tỷ",Đường Vũ Tùng,Phường Gia Định,Hồ Chí Minh,40 m²,"Đường Vũ Tùng, Phường 2, Quận Bình Thạnh, Hồ Chí Minh (cũ)"
https://alonhadat.com.vn/sieu-pham-2-tang-25m2-ngang-5m-p-tan-dinh-canh-cho-tan-dinh-trung-tam-sg-18713074.html,"Siêu phẩm 2 tầng 25m2 (ngang 5m), P.Tân Định, Cạnh chợ Tân Định trung tâm SG",2026-05-27,"Giá: 4,8 tỷ",Đường Thạch Thị Thanh,Phường Tân Định,Hồ Chí Minh,25 m²,"Đường Thạch Thị Thanh, Phường Tân Định, Quận 1, Hồ Chí Minh (cũ)"
https://alonhadat.com.vn/nha-2-tang-ngang-rong-4-5m-ngay-canh-cho-tan-dinh-giam-manh-400tr-18591323.html,"Nhà 2 tầng ngang rộng (4.5m), Ngay cạnh chợ Tân Định,giảm mạnh 800tr, chỉ 190tr/m2",2026-05-27,"Giá: 4,8 tỷ",Đường Nguyễn Hữu Cầu,Phường Tân Định,Hồ Chí Minh,23 m²,"Đường Nguyễn Hữu Cầu, Phường Tân Định, Quận 1, Hồ Chí Minh (cũ)"
https://alonhadat.com.vn/ban-nha-binh-thanh-1-sec-hem-nhua-4m-gan-cho-ba-chieu-2-tang-43m2-chi-4-7-ty-18712789.html,"Bán Nhà Bình Thạnh, 1 Sẹc Hẻm Nhựa 4m, Gần Chợ Bà Chiểu, 2 Tầng 43m2 Chỉ 4.7 Tỷ",2026-05-27,"Giá: 4,7 tỷ",Đường Bùi Đình Túy,Phường Bình Thạnh,Hồ Chí Minh,42 m²,"Đường Bùi Đình Túy, Phường Bình Thạnh, Quận Bình Thạnh, Hồ Chí Minh (cũ)"
https://alonhadat.com.vn/sieu-pham-7-6-ty-hop-dong-thue-35-tr-thang-hem-dao-duy-tu-gan-dai-hoc-kinh-te-18712644.html,"Siêu phẩm 7,6 tỷ hợp đồng thuê 35 tr/tháng Hẻm Đào Duy Từ gần Đại Học Kinh Tế",2026-05-27,"Giá: 7,6 tỷ",Đường Hòa Hảo,Phường Diên Hồng,Hồ Chí Minh,40 m²,"Đường Hòa Hảo, Phường 5, Quận 10, Hồ Chí Minh (cũ)"
https://alonhadat.com.vn/ngay-cho-ba-chieu-vu-tung-binh-thanh-2-tang-btct-hxh-dtst-45m2-4d-hon-thuong-luong-18650191.html,"Nhà Bình Thạnh  ngay chợ Bà Chiểu, hẻm ô tô Bùi Hữu Nghĩa, SD 45m2 nhỉnh 4Đ",2026-05-27,"Giá: 3,95 tỷ",Đường Vũ Tùng,Phường Gia Định,Hồ Chí Minh,21 m²,"Đường Vũ Tùng, Phường 2, Quận Bình Thạnh, Hồ Chí Minh (cũ)"
https://alonhadat.com.vn/ban-gap-lo-dat-vang-mt-thai-thi-nhan-tan-binh-22x55m-1-188-8m-gia-130-ty-ctxd-ham-8t-18710772.html,"Bán Gấp Lô Đất Vàng MT Thái Thị Nhạn- Tân Bình- 22x55m 1.188,8m² Giá 130 Tỷ,- CTXD:Hầm 8T",2026-05-27,Giá: 130 tỷ,Đường Thái Thị Nhạn,Phường Bảy Hiền,Hồ Chí Minh,1200 m²,"Đường Thái Thị Nhạn, Phường 10, Quận Tân Bình, Hồ Chí Minh (cũ)"
https://alonhadat.com.vn/-gia-tot-hiem-co-tai-quang-trung-go-vap-nha-dep-vao-o-ngay-no-hau-18706456.html,"💥 GIÁ TỐT HIẾM CÓ TẠI QUANG TRUNG, GÒ VẤP – NHÀ ĐẸP VÀO Ở NGAY, NỞ HẬU",2026-05-27,"Giá: 7,9 tỷ",Đường Quang Trung,Phường Gò Vấp,Hồ Chí Minh,78 m²,"Đường Quang Trung, Phường 10, Quận Gò Vấp, Hồ Chí Minh (cũ)"
