iter	RMSE
0	0.2451057517
1	0.2427873235
2	0.240478714
3	0.2383414294
4	0.2363346159
5	0.2341827523
6	0.2323255078
7	0.2307727254
8	0.2290460983
9	0.2274602719
10	0.2255153904
11	0.2239404247
12	0.2221401972
13	0.2206707003
14	0.2188341074
15	0.2174265742
16	0.2159388921
17	0.2146922861
18	0.2133664054
19	0.2117758578
20	0.2101968993
21	0.208661184
22	0.2070999357
23	0.2061935124
24	0.205038696
25	0.2038557637
26	0.2026985285
27	0.2012740375
28	0.2000118142
29	0.1989701401
30	0.1979041529
31	0.196702655
32	0.1956211383
33	0.1943830631
34	0.193460412
35	0.1924759642
36	0.1913653573
37	0.1903575361
38	0.189605761
39	0.1884569454
40	0.1876075355
41	0.1867321684
42	0.1856984121
43	0.1849170068
44	0.184020513
45	0.1831940165
46	0.1822442007
47	0.1814320378
48	0.1805971788
49	0.1795264007
50	0.1785426299
51	0.1777960169
52	0.1769299615
53	0.1762435923
54	0.1755611452
55	0.1748783225
56	0.1742188043
57	0.1734029824
58	0.1729581786
59	0.1724198766
60	0.171838227
61	0.171079817
62	0.1704461013
63	0.1697130106
64	0.1691273572
65	0.1684110732
66	0.1678690147
67	0.1672385774
68	0.1667217195
69	0.1662607427
70	0.1655740246
71	0.1650547988
72	0.1644571035
73	0.163937156
74	0.1632098864
75	0.162871816
76	0.1622778314
77	0.1619870345
78	0.1613592483
79	0.1608437748
80	0.1602648033
81	0.1600655587
82	0.1595142334
83	0.1590082082
84	0.1584877693
85	0.1579785329
86	0.1574728718
87	0.1572329124
88	0.1568746218
89	0.1563937601
90	0.1561048275
91	0.1555867381
92	0.1552803831
93	0.1549899438
94	0.154509889
95	0.1541794182
96	0.1536732209
97	0.1533420843
98	0.1529416335
99	0.1526617154
100	0.1522325872
101	0.1518536001
102	0.1515719053
103	0.151357515
104	0.1509302132
105	0.1506461743
106	0.1501852127
107	0.1499187715
108	0.1495018352
109	0.1491806247
110	0.1489632168
111	0.1485679489
112	0.1482232247
113	0.1477228498
114	0.147243282
115	0.1469845738
116	0.1467082888
117	0.1464629424
118	0.1462445541
119	0.1459686226
120	0.1455919657
121	0.1451294371
122	0.1448759628
123	0.1444372912
124	0.1439971878
125	0.14355298
126	0.1430903186
127	0.1427558068
128	0.1424055689
129	0.1422635965
130	0.1418843327
131	0.1416825533
132	0.1412870271
133	0.1406678891
134	0.1403576065
135	0.140090775
136	0.1397815178
137	0.1394838406
138	0.1390118734
139	0.138735179
140	0.1385449185
141	0.1382168394
142	0.1380231659
143	0.1377180115
144	0.137575806
145	0.1374003664
146	0.1371874984
147	0.1368220624
148	0.136363901
149	0.1361576198
150	0.1358858685
151	0.1355567778
152	0.135177563
153	0.1349002974
154	0.134649454
155	0.1343754661
156	0.1341861025
157	0.1338976992
158	0.1336500653
159	0.1332675145
160	0.1329622959
161	0.1327025077
162	0.1323819657
163	0.1322125219
164	0.1319863685
165	0.1317458146
166	0.1314746144
167	0.1313127439
168	0.1311188782
169	0.1309502044
170	0.1308178744
171	0.1304431554
172	0.1302544864
173	0.1299577824
174	0.1297473891
175	0.1295968222
176	0.1293904247
177	0.1289333979
178	0.1288200646
179	0.128729839
180	0.1284391764
181	0.1282119366
182	0.1277014766
183	0.1275527663
184	0.1274006335
185	0.1272267671
186	0.127022694
187	0.1267840919
188	0.1263594626
189	0.1262094794
190	0.1259998609
191	0.1258412927
192	0.1257091305
193	0.1254677438
194	0.1252141974
195	0.1250900116
196	0.1248677989
197	0.1245642871
198	0.124211559
199	0.1241578945
200	0.1238977595
201	0.1237455742
202	0.1235300745
203	0.1234029854
204	0.1231014662
205	0.1228843279
206	0.1226125919
207	0.122369968
208	0.122101077
209	0.1218889372
210	0.1216817586
211	0.1215297165
212	0.1213017957
213	0.1210540215
214	0.1208242192
215	0.1206340042
216	0.1204051156
217	0.1203035759
218	0.1200620975
219	0.1199287476
220	0.1198101967
221	0.1196343468
222	0.1193424393
223	0.1191602296
224	0.1188959082
225	0.1186819113
226	0.1185137851
227	0.1183971385
228	0.1182994672
229	0.1180868062
230	0.1179125534
231	0.1177592797
232	0.117614974
233	0.1173551722
234	0.1171827223
235	0.116768022
236	0.116658484
237	0.1164950335
238	0.1161679574
239	0.115923061
240	0.1155898717
241	0.1154043124
242	0.115174288
243	0.1148621448
244	0.1146470583
245	0.1143501863
246	0.1142012695
247	0.1140661477
248	0.1139292405
249	0.1138438207
250	0.1136278102
251	0.1135342467
252	0.113371807
253	0.1133004486
254	0.1130652009
255	0.1127898197
256	0.1125224771
257	0.112338488
258	0.112188163
259	0.1118827768
260	0.1115429641
261	0.1113329173
262	0.1111707474
263	0.1110774738
264	0.1108743126
265	0.1107224019
266	0.1104301091
267	0.110349788
268	0.1101482045
269	0.1099717112
270	0.1097201638
271	0.1094790712
272	0.1093153644
273	0.1092172131
274	0.1091031979
275	0.1089915775
276	0.1088579398
277	0.1087496535
278	0.1086423409
279	0.1083497041
280	0.1081336844
281	0.1078640979
282	0.1076955804
283	0.1074483859
284	0.1071071995
285	0.1067869071
286	0.1066148619
287	0.1065463952
288	0.1063593715
289	0.1062568439
290	0.1059362316
291	0.1057154463
292	0.1055817765
293	0.1052887526
294	0.1051355283
295	0.1050077346
296	0.1045760343
297	0.1044154478
298	0.1042405199
299	0.104096694
300	0.1040169033
301	0.103960344
302	0.1037789978
303	0.1037000207
304	0.103408937
305	0.1032074048
306	0.1030714906
307	0.102950118
308	0.1027377402
309	0.1025708493
310	0.1025100068
311	0.1022062031
312	0.1019004027
313	0.101664415
314	0.101488401
315	0.1011343207
316	0.1009690102
317	0.1008504716
318	0.1005504714
319	0.1002074966
320	0.09989444086
321	0.09965976718
322	0.09933498368
323	0.09901506995
324	0.09884123953
325	0.09870159602
326	0.09859428025
327	0.09843746051
328	0.09832739942
329	0.09811992398
330	0.09793821225
331	0.09777575151
332	0.09767343487
333	0.09754468121
334	0.09750538426
335	0.09735673655
336	0.09706489405
337	0.09675804155
338	0.09671695979
339	0.09640822736
340	0.09633456699
341	0.09597603649
342	0.09561772122
343	0.09545728991
344	0.09526231488
345	0.09499547716
346	0.09479787553
347	0.09446387798
348	0.09441102954
349	0.09429091604
350	0.09397162061
