iter	Passed	Remaining
0	18	28114
1	36	26993
2	53	26514
3	71	26568
4	93	28013
5	117	29281
6	136	29071
7	156	29101
8	175	29082
9	194	28932
10	215	29110
11	233	28920
12	251	28785
13	269	28608
14	286	28412
15	304	28243
16	322	28158
17	340	28069
18	359	28060
19	377	27957
20	396	27921
21	422	28381
22	441	28323
23	459	28275
24	478	28249
25	497	28176
26	518	28276
27	535	28172
28	552	28042
29	569	27927
30	589	27914
31	607	27862
32	625	27791
33	642	27724
34	660	27643
35	678	27576
36	696	27532
37	715	27515
38	733	27486
39	751	27446
40	769	27374
41	787	27341
42	805	27294
43	822	27228
44	840	27172
45	858	27129
46	876	27094
47	893	27026
48	912	27019
49	931	27017
50	951	27044
51	970	27033
52	991	27080
53	1012	27115
54	1040	27341
55	1061	27381
56	1090	27600
57	1119	27826
58	1149	28080
59	1183	28403
60	1213	28627
61	1238	28729
62	1264	28847
63	1288	28901
64	1310	28941
65	1335	29009
66	1356	29022
67	1385	29183
68	1484	30782
69	1525	31157
70	1562	31449
71	1582	31389
72	1601	31300
73	1620	31225
74	1638	31125
75	1656	31029
76	1673	30925
77	1691	30830
78	1711	30778
79	1734	30778
80	1754	30738
81	1776	30713
82	1798	30697
83	1817	30640
84	1836	30577
85	1854	30489
86	1873	30424
87	1894	30393
88	1917	30392
89	1937	30353
90	1956	30297
91	1978	30280
92	1998	30238
93	2016	30156
94	2033	30068
95	2052	30017
96	2074	30002
97	2099	30030
98	2118	29985
99	2138	29943
100	2156	29869
101	2175	29823
102	2194	29761
103	2212	29702
104	2231	29652
105	2250	29593
106	2268	29531
107	2286	29471
108	2304	29405
109	2321	29336
110	2337	29256
111	2357	29210
112	2375	29154
113	2394	29106
114	2412	29058
115	2430	28996
116	2450	28961
117	2471	28940
118	2497	28981
119	2516	28942
120	2536	28903
121	2555	28867
122	2574	28820
123	2575	28584
124	2603	28643
125	2624	28615
126	2644	28588
127	2663	28548
128	2684	28529
129	2703	28490
130	2723	28461
131	2741	28416
132	2760	28372
133	2779	28330
134	2799	28306
135	2819	28273
136	2839	28245
137	2858	28214
138	2878	28180
139	2898	28158
140	2918	28128
141	2939	28107
142	2957	28064
143	2975	28023
144	2994	27984
145	3021	28018
146	3039	27979
147	3058	27936
148	3077	27905
149	3096	27871
150	3124	27910
151	3142	27871
152	3161	27831
153	3179	27790
154	3197	27750
155	3216	27711
156	3234	27666
157	3252	27629
158	3271	27593
159	3289	27546
160	3309	27526
161	3328	27491
162	3347	27457
163	3367	27429
164	3385	27387
165	3402	27342
166	3419	27295
167	3438	27262
168	3456	27225
169	3475	27188
170	3493	27151
171	3512	27116
172	3537	27134
173	3554	27088
174	3571	27043
175	3588	26997
176	3606	26953
177	3631	26972
178	3649	26931
179	3665	26883
180	3682	26838
181	3699	26789
182	3715	26740
183	3732	26694
184	3748	26644
185	3765	26601
186	3783	26564
187	3800	26523
188	3818	26483
189	3835	26446
190	3852	26405
191	3869	26362
192	3888	26330
193	3906	26295
194	3922	26251
195	3940	26216
196	3958	26180
197	3976	26146
198	3993	26108
199	4012	26081
200	4030	26047
201	4052	26042
202	4069	26002
203	4088	25977
204	4107	25945
205	4126	25922
206	4152	25938
207	4170	25906
208	4189	25881
209	4208	25853
210	4226	25818
211	4244	25789
212	4262	25753
213	4279	25717
214	4296	25681
215	4316	25661
216	4335	25630
217	4352	25598
218	4370	25564
219	4388	25532
220	4405	25495
221	4422	25460
222	4440	25427
223	4457	25391
224	4474	25357
225	4492	25325
226	4509	25288
227	4527	25257
228	4544	25222
229	4562	25195
230	4579	25157
231	4597	25128
232	4615	25099
233	4632	25064
234	4649	25027
235	4666	24995
236	4685	24970
237	4706	24955
238	4724	24928
239	4747	24921
240	4767	24904
241	4786	24880
242	4806	24860
243	4823	24829
244	4844	24817
245	4864	24795
246	4885	24785
247	4906	24772
248	4926	24752
249	4947	24737
250	4966	24712
251	4983	24679
252	5002	24655
253	5021	24632
254	5040	24611
255	5061	24595
256	5083	24587
257	5102	24563
258	5120	24534
259	5138	24505
260	5155	24472
261	5181	24481
262	5198	24452
263	5217	24426
264	5234	24396
265	5288	24534
266	5309	24517
267	5325	24479
268	5341	24442
269	5359	24414
270	5376	24381
271	5394	24354
