link,title,post_day,street,old_address,locality,region,listing_id,direction,listing_type,property_type,legal_status,num_floors,num_bedrooms,road_width_m,width_m,length_m,price_vnd,area_m2,dining_room_bin,kitchen_bin,terrace_bin,car_parking_bin,owner_listing_bin,locality_square,locality_population_density
https://alonhadat.com.vn/ban-nha-mat-tien-duong-bui-van-them-p3-phu-nhuan-dt-5-5-x-16m-6-tang-moi-18517963.html,Bán nhà mặt tiền đường Bùi Văn Thêm p3 phú nhuận DT 5.5 x 16m - 6 tầng mới,2026-06-20,đường bùi văn thêm,"Đường Bùi Văn Thêm, Phường 3, Quận Phú Nhuận, Hồ Chí Minh (cũ)",phường đức nhuận,hồ chí minh,18517963,unknown,can_ban,nha_mat_tien,so_hong_so_do,4.0,8.0,12.0,5.5,16.0,25500000000.0,90.0,0,0,0,0,0,"2,17",32.947
https://alonhadat.com.vn/can-ban-gap-toa-nha-ham-7-tang-nguyen-van-thu-quan-1-gia-93-ty-16942065.html,Cần bán gấp  Tòa Nhà Hầm 7 Tầng Nguyễn Văn Thủ – Quận 1 – Giá 93 Tỷ dòng tiền dk 5%/năm,2026-06-20,đường nguyễn văn thủ,"Đường Nguyễn Văn Thủ, Phường Đa Kao, Quận 1, Hồ Chí Minh (cũ)",phường tân định,hồ chí minh,16942065,unknown,can_ban,nha_mat_tien,so_hong_so_do,7.0,7.0,12.0,8.5,17.0,93000000000.0,144.0,0,0,0,0,0,"1,23",39.450
https://alonhadat.com.vn/nha-mat-tien-ngay-vong-xoay-dien-bien-phu-ngang-8m-co-gpxd-ham-8-tang-2-mat-tien-16896137.html,Nhà Mặt Tiền Ngay Vòng Xoay Điện Biên Phủ – Ngang 8m – Có GPXD Hầm 8 Tầng – 2 Mặt Tiền,2026-06-20,đường điện biên phủ,"Đường Điện Biên Phủ, Phường Đa Kao, Quận 1, Hồ Chí Minh (cũ)",phường tân định,hồ chí minh,16896137,unknown,can_ban,nha_mat_tien,so_hong_so_do,2.0,2.0,20.0,8.2,15.0,95000000000.0,132.0,0,0,0,0,0,"1,23",39.450
https://alonhadat.com.vn/3-tai-san-loi-trung-tam-quan-phu-nhuan-ngang-7-8m-khai-thac-300tr-thang-18240913.html,3️⃣ 🚀 Tài Sản Lõi Trung Tâm Quận Phú Nhuận – Ngang 7.8m – Khai Thác 300tr/Tháng,2026-06-20,đường phan đăng lưu,"Đường Phan Đăng Lưu, Phường Đức Nhuận, Quận Phú Nhuận, Hồ Chí Minh (cũ)",phường đức nhuận,hồ chí minh,18240913,unknown,can_ban,nha_mat_tien,so_hong_so_do,10.0,5.0,30.0,7.8,32.0,125000000000.0,178.0,0,0,0,0,0,"2,17",32.947
https://alonhadat.com.vn/can-nha-khien-ai-cung-muon-o-1-tret-3-lau-trung-tam-quan-7-phap-ly-chuan-17525966.html,"Cơ Hội Vàng! Nhà Mặt Tiền Lý Phục Man Quận 7 – Kinh Doanh Đỉnh, Sổ Hồng Sẵn, Giá Tốt 9,9",2026-06-20,đường lý phục man,"Đường Lý Phục Man, Phường Bình Thuận, Quận 7, Hồ Chí Minh (cũ)",phường tân thuận,hồ chí minh,17525966,unknown,can_ban,nha_mat_tien,so_hong_so_do,3.0,5.0,10.0,4.0,12.0,9900000000.0,60.0,1,1,1,1,0,"10,16",14.576
https://alonhadat.com.vn/ban-nha-mt-kd-20m-binh-tan-dt-150m2-2-tang-chi-10-ty-999tr-17343572.html,"Bán Nhà MT KD 20m Bình Tân, DT 150m2, 2 Tầng, chỉ 9,999 tỷ",2026-06-20,đường liên khu 4 - 5,"Đường Liên khu 4 - 5, Phường Bình Hưng Hòa B, Quận Bình Tân, Hồ Chí Minh (cũ)",phường bình tân,hồ chí minh,17343572,unknown,can_ban,nha_mat_tien,so_hong_so_do,2.0,3.0,20.0,5.0,30.0,9500000000.0,150.0,1,1,1,1,0,"11,25",14.387
https://alonhadat.com.vn/ban-nha-mat-tien-binh-gia-phuong-13-tan-binh-4-5x16m-3-tang-gan-ga-t3-18814486.html,"Bán nhà Mặt tiền Bình Giã, phường 13, Tân Bình - 4,5x16m - 3 tầng - gần Ga T3",2026-06-20,đường bình giã,"Đường Bình Giã, Phường 13, Quận Tân Bình, Hồ Chí Minh (cũ)",phường tân bình,hồ chí minh,18814486,unknown,can_ban,nha_mat_tien,so_hong_so_do,3.0,4.0,12.0,4.5,16.0,15800000000.0,67.0,0,0,0,0,0,"2,12",42.157
https://alonhadat.com.vn/goc-2-mat-tien-le-thanh-ton-trai-tim-pho-nhat-han-10-2x25-180t-18814481.html,"GÓC 2 MẶT TIỀN LÊ THÁNH TÔN ""TRÁI TIM"" PHỐ NHẬT & HÀN | 10.2x25; 180t",2026-06-20,đường lê thánh tôn,"Đường Lê Thánh Tôn, Phường Bến Nghé, Quận 1, Hồ Chí Minh (cũ)",phường sài gòn,hồ chí minh,18814481,unknown,can_ban,nha_mat_tien,so_hong_so_do,7.0,,20.0,10.2,25.0,180000000000.0,229.0,0,0,0,0,0,"3,04",15.468
https://alonhadat.com.vn/ban-nha-2-mat-tien-nguyen-trung-truc-binh-thanh-18814438.html,bán nhà 2 mặt tiền nguyễn trung trực bình thạnh,2026-06-20,đường nguyễn trung trực,"Đường Nguyễn Trung Trực, Phường 5, Quận Bình Thạnh, Hồ Chí Minh (cũ)",phường bình lợi trung,hồ chí minh,18814438,unknown,can_ban,nha_mat_tien,so_hong_so_do,,,14.0,10.0,17.0,22800000000.0,170.0,0,0,0,0,0,"3,89",29.851
https://alonhadat.com.vn/toa-chdv-ngay-nha-ga-t3-tan-son-nhat-dong-tien-net-180-trieu-thang-18814468.html,TÒA CHDV NGAY NHÀ GA T3 TÂN SƠN NHẤT – DÒNG TIỀN NET 180 TRIỆU/THÁNG,2026-06-20,đường giải phóng,"Đường Giải Phóng, Phường 4, Quận Tân Bình, Hồ Chí Minh (cũ)",phường tân sơn nhất,hồ chí minh,18814468,unknown,can_ban,nha_mat_tien,so_hong_so_do,7.0,25.0,15.0,7.4,28.0,53000000000.0,211.0,0,0,0,0,0,"3,19",26.533
