link,title,post_day,street,old_address,locality,region,listing_id,direction,listing_type,property_type,legal_status,num_floors,num_bedrooms,road_width_m,width_m,length_m,price_vnd,area_m2,dining_room_bin,kitchen_bin,terrace_bin,car_parking_bin,owner_listing_bin,locality_square,locality_population_density,lat,lon,matched_address,distance_to_center_km,nearest_school_km,school_count_3km,nearest_hospital_km,hospital_count_5km,nearest_marketplace_km,marketplace_count_3km,nearest_supermarket_km,supermarket_count_3km,nearest_mall_km,mall_count_3km,nearest_bus_stop_km,bus_stop_count_1km,nearest_metro_km,metro_count_5km
https://alonhadat.com.vn/ban-nha-rieng-hem-xe-hoi-4-tang-moi-dep-lung-linh-p14-binh-thanh-18269430.html,Bán nhà riêng hẻm xe hơi 4 tầng mới đẹp lung linh P14 Bình Thạnh,2026-05-23,đường lê quang định,"Đường Lê Quang Định, Phường 14, Quận Bình Thạnh, Hồ Chí Minh (cũ)",phường bình thạnh,hồ chí minh,18269430,unknown,can_ban,nha_trong_hem,unknown,3.0,3.0,4.0,4.1,12.5,8900000000.0,50.0,0,0,0,0,0,"3,32",38.042,10.8045369,106.6985299,"đường lê quang định, phường bình thạnh, hồ chí minh, Vietnam",3.067975386545508,0.1536564277820822,117.0,0.3253671289426457,47.0,0.3173412790612379,16.0,0.127429078630904,61.0,3.0678526059733926,0.0,0.1082694455382833,47.0,2.0800873263501067,7.0
https://alonhadat.com.vn/sieu-vi-tri-toa-nha-ham-10-tang-le-thanh-ton-q1-dt-4-4x21m-93m2-110-ty-250tr-thang-17891053.html,SIÊU VỊ TRÍ TÒA NHÀ HẦM 10 TẦNG LÊ THÁNH TÔN-Q1.DT:4.4X21M. 93M2. 110 TỶ 250tr/tháng,2026-05-27,đường lê thánh tôn,"Đường Lê Thánh Tôn, Phường Bến Nghé, Quận 1, Hồ Chí Minh (cũ)",phường sài gòn,hồ chí minh,17891053,unknown,can_ban,nha_mat_tien,unknown,10.0,15.0,30.0,5.537749241945384,16.61324772583615,110000000000.0,92.0,0,0,0,0,0,"3,04",15.468,10.7781862,106.7017849,"Đường Lê Thánh Tôn, Phường Bến Nghé, Quận 1, Hồ Chí Minh, Vietnam",0.172067881268568,0.1388773993653652,130.0,0.3786369600356726,79.0,0.639428585125362,27.0,0.0323847319304168,103.0,0.5159869419863872,17.0,0.045150610045325,111.0,0.3204181215665058,6.0
https://alonhadat.com.vn/ban-biet-thu-khu-compound-284-nguyen-trong-tuyen-p10-phu-nhuan-7x25m-3-lau-sieu-dep-16693368.html,"Bán Biệt Thự Khu Compound 284 Nguyễn Trọng Tuyển p10 Phú Nhuận, 7x25m, 3 lầu siêu đẹp",2026-05-27,đường nguyễn trọng tuyển,"Đường Nguyễn Trọng Tuyển, Phường 10, Quận Phú Nhuận, Hồ Chí Minh (cũ)",phường phú nhuận,hồ chí minh,16693368,unknown,can_ban,nha_trong_hem,unknown,3.0,5.0,16.0,7.416198487095663,22.24859546128699,45000000000.0,165.0,0,0,0,0,0,"1,46",46.863,10.7978431,106.674643,"đường nguyễn trọng tuyển, phường phú nhuận, hồ chí minh, Vietnam",3.689531835435336,0.4288570629001585,154.0,0.3118117616331108,76.0,0.5711071626172188,19.0,0.2563639381331828,53.0,1.9454943767766408,6.0,0.1553122603368634,47.0,3.900284792001561,4.0
https://alonhadat.com.vn/-ban-gap-can-nha-ngay-cho-binh-chanh-dang-cho-thue-8trieu-th-630trieu-120m2-18261891.html,🔥🔥🔥Bán gấp căn nhà NGAY CHỢ BÌNH CHÁNH đang cho thuê 8triệu/th - 930Triệu - 120m2,2026-06-10,đường trịnh như khuê,"Đường Trịnh Như Khuê, Xã Bình Chánh, Huyện Bình Chánh, Hồ Chí Minh (cũ)",xã bình chánh,hồ chí minh,18261891,unknown,can_ban,nha_mat_tien,so_hong_so_do,1.0,3.0,6.0,6.0,20.0,930000000.0,120.0,1,1,1,1,0,"21,33",3.572,10.6638681,106.5703407,"xã bình chánh, hồ chí minh, Vietnam",18.981265909737505,0.4280784417305304,11.0,3.4931253947015146,3.0,0.2548342903826288,1.0,5.0,0.0,5.0,0.0,0.1251590262960086,12.0,5.0,0.0
https://alonhadat.com.vn/chu-sap-dinh-cu-nuoc-ngoai-giam-soc-2-ty-ban-nhanh-nha-mat-tien-nguyen-phi-khanh-60m2-qu-18765886.html,CHỦ SẮP ĐỊNH CƯ NƯỚC NGOÀI GIẢM SỐC 2 TỶ - BÁN NHANH NHÀ MẶT TIỀN NGUYỄN PHI KHANH 60M2 QU,2026-06-10,đường nguyễn phi khanh,"Đường Nguyễn Phi Khanh, Phường Tân Định, Quận 1, Hồ Chí Minh (cũ)",phường tân định,hồ chí minh,18765886,unknown,can_ban,nha_mat_tien,so_hong_so_do,2.0,4.0,12.0,4.0,15.0,20000000000.0,60.0,0,0,0,0,0,"1,23",39.45,10.7913566,106.6925536,"đường nguyễn phi khanh, phường tân định, hồ chí minh, Vietnam",1.8412823311213948,0.1299335621271443,143.0,0.3411335731658335,72.0,0.3175800768819949,27.0,0.0986909513623184,98.0,1.4975080964543197,13.0,0.0976871077550514,50.0,2.024950050348848,6.0
https://alonhadat.com.vn/thanh-ly-can-nha-cap-4-tp-hcm-ban-tra-no-18767045.html,Thanh lý căn nhà 1 trệt 1 lầu TP.HCM bán trả nợ,2026-06-10,đường bình hưng,"Đường Bình Hưng, Xã Bình Hưng, Huyện Bình Chánh, Hồ Chí Minh (cũ)",xã bình hưng,hồ chí minh,18767045,unknown,can_ban,nha_mat_tien,so_hong_so_do,1.0,3.0,7.0,5.0,18.0,1050000000.0,90.0,0,0,0,0,0,"32,40",5.665,10.7175692,106.6383685,"đường bình hưng, xã bình hưng, hồ chí minh, Vietnam",9.47896657188691,0.4221211458406833,42.0,2.362917492288598,16.0,0.7734166817990344,9.0,2.073354467134818,3.0,3.087711154854188,0.0,0.545569152010797,17.0,5.0,0.0
https://alonhadat.com.vn/ban-nha-tho-tien-decor-theo-y-thich-duong-au-duong-lan-quan-8-hem-xe-hoi-thong-thoang-18773007.html,"Bán nhà thô tiện decor theo ý thích đường Âu Dương Lân quận 8. Hẻm xe hơi, thông thoáng",2026-06-10,đường âu dương lân,"Đường Âu Dương Lân, Phường 3, Quận 8, Hồ Chí Minh (cũ)",phường chánh hưng,hồ chí minh,18773007,unknown,can_ban,nha_mat_tien,so_hong_so_do,6.0,100.0,7.0,10.0,45.0,65000000000.0,446.0,1,1,1,1,0,"4,61",41.368,10.7460099,106.6829836,"đường âu dương lân, phường chánh hưng, hồ chí minh, Vietnam",3.938890870016373,0.1026391394111249,142.0,0.6244011765486238,76.0,0.389629664161238,41.0,0.0111438965873269,62.0,0.7192455313154356,10.0,0.2217875008797816,29.0,3.203953797566647,3.0
https://alonhadat.com.vn/vi-tri-dep-nhat-tuyen-duong-mat-tien-tran-hung-dao-4-6x21m-4-tang-hdt-cao-gia-45-ty--18749098.html,"VỊ TRÍ ĐẸP NHẤT TUYẾN ĐƯỜNG-MẶT TIỀN TRẦN HƯNG ĐẠO- 4,6X21m-4 TẦNG- HĐT CAO- GIÁ: 45 TỶ.",2026-06-10,đường trần hưng đạo,"Đường Trần Hưng Đạo, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh (cũ)",phường bến thành,hồ chí minh,18749098,unknown,can_ban,nha_mat_tien,so_hong_so_do,4.0,6.0,50.0,4.6,21.0,45000000000.0,300.0,0,0,0,0,0,"1,85",38.809,10.7697658,106.6968854,"đường trần hưng đạo, phường bến thành, hồ chí minh, Vietnam",0.9030639858522528,0.1764317325313514,146.0,0.3786499075275946,88.0,0.3340491056014009,40.0,0.0243052720372051,101.0,0.3829654363777388,19.0,0.0311660268603045,104.0,0.1703670445237422,5.0
https://alonhadat.com.vn/mat-tien-tran-hung-dao-quan-1-dt-11x30m-vuong-dep-gan-300m2-gia-220-ty-18506832.html,"Mặt tiền Trần Hưng Đạo, Quận 1. DT 11x30m vuông đẹp gần 300m2, Giá 240 tỷ",2026-06-09,đường trần hưng đạo,"Đường Trần Hưng Đạo, Phường Cầu Kho, Quận 1, Hồ Chí Minh (cũ)",phường cầu ông lãnh,hồ chí minh,18506832,unknown,can_ban,nha_mat_tien,so_hong_so_do,2.0,2.0,40.0,11.0,30.0,240000000000.0,300.0,1,1,1,1,0,"1,60",49.209,10.7586762,106.6871256,"đường trần hưng đạo, phường cầu ông lãnh, hồ chí minh, Vietnam",2.5165574682638794,0.2382065710618411,175.0,0.2720899200508758,85.0,0.3475292585322981,43.0,0.4376213933605064,91.0,0.8076369151653383,20.0,0.1129257955810679,70.0,1.7964196622512754,3.0
https://alonhadat.com.vn/hoa-hong-200tr-chinh-chu-ban-nha-mat-tien-294-phan-van-tri-quan-binh-thanh-cu-18364403.html,Giảm 1 tỷ bán gấp 294 Phan Văn Trị Quận Bình Thạnh 63m2 3 lầu st 6 phòng,2026-06-09,đường phan văn trị,"Đường Phan Văn Trị, Phường 11, Quận Bình Thạnh, Hồ Chí Minh (cũ)",phường bình lợi trung,hồ chí minh,18364403,unknown,can_ban,nha_mat_tien,so_hong_so_do,4.0,6.0,25.0,5.3,18.0,11600000000.0,63.0,1,1,1,1,0,"3,89",29.851,10.8143593,106.6949846,"đường phan văn trị, phường bình lợi trung, hồ chí minh, Vietnam",4.193692198045986,0.2964289749244463,89.0,1.0201470766061114,36.0,0.3530005832131173,14.0,0.2431588066858871,36.0,2.033952162050202,5.0,0.1253517781441358,48.0,3.0225326888196205,6.0
