locality,region,locality_square,locality_population,locality_population_density
xã an khánh,hà nội,"28,69",102.136,3.56
xã an long,hồ chí minh,"100,05",17.906,179.0
xã an nhơn tây,hồ chí minh,"77,69",40.896,526.0
xã an thới đông,hồ chí minh,"257,84",18.413,71.0
xã bà điểm,hồ chí minh,"27,36",192.23,7.026
xã ba vì,hà nội,"81,27",26.651,328.0
xã bát tràng,hà nội,"20,67",48.987,2.37
xã bàu bàng,hồ chí minh,"84,09",42.219,502.0
xã bàu lâm,hồ chí minh,"123,83",22.567,182.0
xã bắc tân uyên,hồ chí minh,"143,69",27.964,195.0
xã bất bạt,hà nội,"56,43",40.066,710.0
xã bình chánh,hồ chí minh,"21,33",76.187,3.572
xã bình châu,hồ chí minh,"87,06",26.054,299.0
xã bình giã,hồ chí minh,"66,96",34.262,512.0
xã bình hưng,hồ chí minh,"32,40",183.535,5.665
xã bình khánh,hồ chí minh,"158,28",31.403,198.0
xã bình lợi,hồ chí minh,"54,17",47.18,871.0
xã bình minh,hà nội,"29,86",80.066,2.681
xã bình mỹ,hồ chí minh,"54,43",99.675,1.831
xã cần giờ,hồ chí minh,"157,01",22.052,140.0
xã châu đức,hồ chí minh,"84,66",28.24,334.0
xã châu pha,hồ chí minh,"65,64",25.438,388.0
xã chuyên mỹ,hà nội,"35,54",44.859,1.262
xã chương dương,hà nội,"28,89",59.973,2.076
xã cổ đô,hà nội,"53,26",70.706,1.328
xã củ chi,hồ chí minh,"64,87",128.611,1.983
xã dân hòa,hà nội,"38,44",62.755,1.633
xã dầu tiếng,hồ chí minh,"182,69",39.056,214.0
xã dương hòa,hà nội,"17,41",58.83,3.379
xã đa phúc,hà nội,"55,32",83.649,1.512
xã đại thanh,hà nội,"18,92",92.557,4.892
xã đại xuyên,hà nội,"51,66",74.906,1.45
xã đan phượng,hà nội,"15,30",47.629,3.113
xã đất đỏ,hồ chí minh,"119,77",43.862,366.0
xã đoài phương,hà nội,"57,10",39.828,698.0
xã đông anh,hà nội,"48,68",118.183,2.428
xã đông thạnh,hồ chí minh,"30,17",187.758,6.223
xã gia lâm,hà nội,"25,72",90.498,3.519
xã hạ bằng,hà nội,"32,14",38.721,1.205
xã hát môn,hà nội,"37,67",72.227,1.917
xã hiệp phước,hồ chí minh,"63,33",73.835,1.166
xã hòa hiệp,hồ chí minh,"99,28",25.995,262.0
xã hòa hội,hồ chí minh,"136,27",36.174,265.0
xã hòa lạc,hà nội,"35,37",20.815,588.0
xã hòa phú,hà nội,"29,88",49.948,1.672
xã hòa xá,hà nội,"40,42",69.428,1.718
xã hoài đức,hà nội,"16,73",69.239,4.139
xã hóc môn,hồ chí minh,"16,43",88.632,5.395
xã hồ tràm,hồ chí minh,"94,51",51.895,549.0
xã hồng sơn,hà nội,"54,39",63.13,1.161
xã hồng vân,hà nội,"24,53",58.685,2.392
xã hưng đạo,hà nội,"24,90",49.357,1.982
xã hưng long,hồ chí minh,"35,54",71.504,2.012
xã hương sơn,hà nội,"69,11",52.634,762.0
xã kiều phú,hà nội,"34,54",60.885,1.763
xã kim anh,hà nội,"52,80",48.564,920.0
xã kim long,hồ chí minh,"63,92",33.369,522.0
xã liên minh,hà nội,"23,57",47.769,2.027
xã long điền,hồ chí minh,"51,44",48.048,934.0
xã long hải,hồ chí minh,"27,93",109.149,3.908
xã long hòa,hồ chí minh,"166,76",25.215,151.0
xã long sơn,hồ chí minh,"56,50",17.767,314.0
xã mê linh,hà nội,"24,07",69.107,2.871
xã minh châu,hà nội,"10,35",6.646,642.0
xã minh thạnh,hồ chí minh,"159,06",24.215,152.0
xã mỹ đức,hà nội,"52,73",53.64,1.017
xã nam phù,hà nội,"13,74",42.772,3.113
xã ngãi giao,hồ chí minh,"69,30",49.065,708.0
xã nghĩa thành,hồ chí minh,"65,67",27.819,424.0
xã ngọc hồi,hà nội,"13,34",43.864,3.288
xã nhà bè,hồ chí minh,"37,10",156.54,4.219
xã nhuận đức,hồ chí minh,"62,05",40.239,648.0
xã nội bài,hà nội,"51,64",70.469,1.365
xã ô diên,hà nội,"32,06",97.506,3.041
xã phú cát,hà nội,"51,21",43.339,846.0
xã phù đổng,hà nội,"41,62",111.484,2.679
xã phú giáo,hồ chí minh,"192,83",42.739,222.0
xã phú hòa đông,hồ chí minh,"59,75",97.766,1.636
xã phú nghĩa,hà nội,"40,24",71.048,1.766
xã phú xuyên,hà nội,"60,02",96.635,1.61
xã phúc lộc,hà nội,"41,15",61.457,1.493
xã phúc sơn,hà nội,"49,31",54.084,1.097
xã phúc thịnh,hà nội,"42,63",95.951,2.251
xã phúc thọ,hà nội,"39,66",75.425,1.902
xã phước hải,hồ chí minh,"70,44",43.615,619.0
xã phước hòa,hồ chí minh,"128,07",42.47,332.0
xã phước thành,hồ chí minh,"123,49",15.803,128.0
xã phượng dực,hà nội,"44,69",60.281,1.349
xã quảng bị,hà nội,"37,14",62.968,1.695
xã quang minh,hà nội,"32,17",69.623,2.164
xã quảng oai,hà nội,"49,26",59.001,1.198
xã quốc oai,hà nội,"24,00",63.344,2.639
xã sóc sơn,hà nội,"68,24",117.876,1.727
xã sơn đồng,hà nội,"21,57",63.267,2.933
xã suối hai,hà nội,"52,55",35.201,670.0
xã tam hưng,hà nội,"29,45",39.087,1.327
xã tân an hội,hồ chí minh,"53,50",84.342,1.576
xã tân nhựt,hồ chí minh,"43,48",115.721,2.661
xã tân vĩnh lộc,hồ chí minh,"34,02",164.278,4.829
xã tây phương,hà nội,"31,06",99.874,3.216
xã thạch thất,hà nội,"31,93",57.645,1.805
xã thái mỹ,hồ chí minh,"62,44",49.862,799.0
xã thanh an,hồ chí minh,"136,72",25.324,185.0
xã thạnh an,hồ chí minh,"131,31",4.218,32.0
xã thanh oai,hà nội,"26,86",54.475,2.028
xã thanh trì,hà nội,"10,15",55.378,5.456
xã thiên lộc,hà nội,"27,96",74.597,2.668
xã thuận an,hà nội,"29,67",68.292,2.302
xã thư lâm,hà nội,"43,84",102.58,2.34
xã thượng phúc,hà nội,"28,91",45.464,1.573
xã thường tân,hồ chí minh,"127,76",21.238,166.0
xã thường tín,hà nội,"28,29",70.739,2.5
xã tiến thắng,hà nội,"36,34",64.246,1.768
xã trần phú,hà nội,"44,36",47.528,1.071
xã trung giã,hà nội,"77,52",61.315,791.0
xã trừ văn thố,hồ chí minh,"76,56",24.533,320.0
xã ứng hòa,hà nội,"67,81",63.75,940.0
xã ứng thiên,hà nội,"38,41",53.962,1.405
xã vân đình,hà nội,"41,60",60.828,1.462
xã vật lại,hà nội,"51,76",58.579,1.132
xã vĩnh lộc,hồ chí minh,"30,58",167.042,5.462
xã vĩnh thanh,hà nội,"22,52",64.698,2.873
xã xuân mai,hà nội,"50,72",67.31,1.327
xã xuân sơn,hồ chí minh,"73,81",27.368,371.0
xã xuân thới sơn,hồ chí minh,"35,21",96.621,2.744
xã xuyên mộc,hồ chí minh,"102,96",26.917,261.0
xã yên bài,hà nội,"68,19",21.416,314.0
xã yên lãng,hà nội,"44,81",71.339,1.592
xã yên xuân,hà nội,"78,01",29.375,377.0
phường an đông,hồ chí minh,"1,32",81.229,61.537
phường an hội đông,hồ chí minh,"3,29",113.681,34.553
phường an hội tây,hồ chí minh,"3,81",121.004,31.76
phường an khánh,hồ chí minh,"15,33",76.967,5.021
phường an lạc,hồ chí minh,"10,47",172.134,16.441
phường an nhơn,hồ chí minh,"3,23",111.498,34.52
phường an phú,hồ chí minh,"16,85",162.93,9.669
phường an phú đông,hồ chí minh,"14,59",179.115,12.277
phường ba đình,hà nội,"2,97",65.023,21.893
phường bà rịa,hồ chí minh,"15,55",52.265,3.361
phường bạch mai,hà nội,"2,95",129.571,43.922
phường bàn cờ,hồ chí minh,"0,99",67.616,68.299
phường bảy hiền,hồ chí minh,"2,86",132.252,46.242
phường bến cát,hồ chí minh,"100,89",97.928,971.0
phường bến thành,hồ chí minh,"1,85",71.875,38.809
phường bình cơ,hồ chí minh,"73,69",64.601,877.0
