property_type,legal_status,num_floors,num_bedrooms,road_width_m,width_m,length_m,price_vnd,area_m2,dining_room_bin,kitchen_bin,terrace_bin,car_parking_bin,locality_square,locality_population_density,distance_to_center_km,nearest_school_km,school_count_3km,nearest_hospital_km,hospital_count_5km,nearest_marketplace_km,marketplace_count_3km,nearest_supermarket_km,supermarket_count_3km,nearest_mall_km,mall_count_3km,nearest_bus_stop_km,bus_stop_count_1km,nearest_metro_km
0,0,3.0,3.0,4.0,4.1,12.5,8900000000.0,50.0,0,0,0,0,3.32,38.042,3.067975386545508,0.1536564277820822,117.0,0.3253671289426457,47.0,0.3173412790612379,16.0,0.127429078630904,61.0,3.0678526059733926,0.0,0.1082694455382833,47.0,2.0800873263501067
0,0,1.0,2.0,10.0,4.0,14.0,13000000000.0,56.0,0,0,0,0,2.12,42.157,6.35429173474454,0.1750195304360008,153.0,0.5225105240070275,61.0,0.45950139405485,28.0,0.4906634202464263,27.0,1.753596535716645,2.0,0.0941272756655079,48.0,5.088364417881627
0,1,3.0,5.0,16.0,4.0,21.0,12300000000.0,82.0,0,0,0,0,10.12,7.631,9.350266142590472,0.4207664622846291,68.0,1.223301474675765,13.0,0.5398216588401995,8.0,0.2350753881339863,13.0,3.250243695354636,0.0,0.1274930284114385,28.0,5.088364417881627
0,1,4.0,4.0,8.0,5.0990195135927845,15.297058540778355,7900000000.0,78.0,1,1,1,0,2.81,39.448,6.547124571141772,0.2271088171488027,66.0,1.262638545748017,25.0,1.5846055577420126,7.0,0.8043930251458349,6.0,0.2043101297318348,7.0,0.1350125885728282,30.0,5.088364417881627
0,1,3.0,3.0,6.0,4.0,14.0,3400000000.0,56.0,1,1,1,1,16.01,13.469,5.619194501490771,0.4488826876728026,52.0,2.913708152983772,16.0,0.4767576975393963,6.0,0.4858052693822553,27.0,1.0213146242196642,2.0,0.2952877885045731,20.0,3.305394095862167
0,1,3.0,4.0,8.0,5.0,14.9,4550000000.0,74.0,1,1,1,1,1.32,61.537,3.799589915853832,0.272136477293492,186.0,0.2225634314434045,83.0,0.2166934646773793,51.0,0.1744325430222224,69.0,0.1672512232091907,12.0,0.0269669626459871,91.0,3.158661509250724
0,1,2.0,3.0,5.0,5.0,11.8,4650000000.0,59.0,1,1,1,1,3.89,29.851,4.830279547129328,0.4546188265738125,68.0,2.09692714628374,25.0,0.3925950736002273,10.0,0.2625190817205464,31.0,1.755268654940006,3.0,0.3091537925683889,27.0,2.800769620458555
0,1,2.0,3.0,5.0,4.0,13.0,5250000000.0,52.0,1,1,1,1,3.89,29.851,4.38503139445485,0.4121033006196985,89.0,1.020801536294697,40.0,0.7158844131112477,11.0,0.8293121717553118,36.0,1.551172138725318,7.0,0.0328308472180503,45.0,3.5311761369164216
0,1,1.0,3.0,5.0,4.0,12.25,5650000000.0,49.0,1,1,1,1,3.37,38.239,5.15442807966281,0.2494847903364127,74.0,0.4132828544021341,33.0,0.4901964967254911,10.0,0.8504405383542083,26.0,0.7045242023991288,7.0,0.0480005790263471,43.0,4.371967127018114
0,1,2.0,3.0,6.0,5.0,10.0,2850000000.0,50.0,0,0,0,0,3.89,29.851,4.38503139445485,0.4121033006196985,89.0,1.020801536294697,40.0,0.7158844131112477,11.0,0.8293121717553118,36.0,1.551172138725318,7.0,0.0328308472180503,45.0,3.5311761369164216
0,1,2.0,3.0,6.0,5.0,11.0,2750000000.0,55.0,0,1,0,0,3.23,34.52,5.599843813281972,0.1287495988879491,58.0,0.9433945684469331,27.0,0.8609414180930919,9.0,0.4387865056851189,26.0,1.536930018686424,7.0,0.4253006526046893,25.0,4.148522801036082
0,1,2.0,3.0,6.0,5.0,10.0,2880000000.0,50.0,0,0,0,0,3.37,38.239,5.116720314046692,0.0510695257615913,65.0,0.8475101143544526,32.0,0.2696611618398571,10.0,0.5001513009790616,29.0,1.0265599638832372,7.0,0.0122252346135835,41.0,4.067926502652966
0,1,2.0,3.0,6.0,4.0,10.0,3190000000.0,60.0,0,0,0,0,3.37,38.239,5.354201753705501,0.5244354232614753,79.0,0.4582358259084895,38.0,1.260310468717793,11.0,1.1419750720307469,25.0,0.8297774882448749,7.0,0.2578944776998751,27.0,4.946305180345097
0,1,1.0,3.0,4.0,5.0,13.0,2850000000.0,67.0,0,0,1,1,7.15,23.097,10.051592993712129,0.3870611096847802,59.0,0.7228639422523274,14.0,0.3248693473316902,16.0,0.5133655339027483,26.0,2.443531539860875,1.0,0.058528114144772,39.0,5.088364417881627
0,1,2.0,4.0,5.0,5.0,17.0,11500000000.0,76.0,0,0,0,0,2.62,24.485,4.857363561586759,0.3101428848010182,139.0,0.6742192297742482,73.0,0.2831981009363797,21.0,0.2004010802206919,32.0,0.9873793689904992,4.0,0.2099818870230122,40.0,4.920595234876973
0,1,1.0,2.0,5.0,4.396968652757639,13.190905958272921,3450000000.0,58.0,1,1,1,1,3.89,29.851,4.38503139445485,0.4121033006196985,89.0,1.020801536294697,40.0,0.7158844131112477,11.0,0.8293121717553118,36.0,1.551172138725318,7.0,0.0328308472180503,45.0,3.5311761369164216
0,1,2.0,3.0,4.0,4.281744192888376,12.84523257866513,3760000000.0,55.0,1,1,1,1,3.89,29.851,4.034777763943694,0.5033179759084848,107.0,0.8766920795174096,45.0,0.3472241156132691,14.0,0.7098926729521648,46.0,1.8306465745159768,7.0,0.188044343780452,40.0,3.3710954769537844
0,1,2.0,4.0,4.5,4.041451884327381,12.12435565298214,2860000000.0,49.0,1,1,1,1,3.37,38.239,5.15442807966281,0.2494847903364127,74.0,0.4132828544021341,33.0,0.4901964967254911,10.0,0.8504405383542083,26.0,0.7045242023991288,7.0,0.0480005790263471,43.0,4.371967127018114
0,1,2.0,2.0,4.0,3.7,10.0,6850000000.0,38.0,0,0,0,0,1.28,81.309,3.2419722128438297,0.3010820874778004,222.0,0.2811142836074399,87.0,0.2622385558569263,54.0,0.3931772678968423,92.0,0.3926340325942063,11.0,0.1032738006671135,74.0,2.789766515743807
0,1,5.0,4.0,4.0,4.0,16.5,8700000000.0,70.0,1,1,1,1,3.24,37.405,9.768333841582272,0.1157914390670293,62.0,2.286844519260672,10.0,0.3188662161381582,8.0,0.2394915872667279,10.0,3.627993202623984,0.0,0.1667729618397612,24.0,5.088364417881627
0,1,4.0,4.0,4.0,7.9,7.5,9250000000.0,67.0,1,1,1,0,3.32,38.042,3.067975386545508,0.1536564277820822,117.0,0.3253671289426457,47.0,0.3173412790612379,16.0,0.127429078630904,61.0,3.0678526059733926,0.0,0.1082694455382833,47.0,2.0800873263501067
0,1,3.0,4.0,221.0,3.55,15.3,8300000000.000001,55.0,1,1,1,1,1.47,63.563,5.37969416459987,0.2115963002894726,209.0,0.5503108751290905,73.0,0.7405824347943004,49.0,0.2140449162303912,35.0,1.941231583861396,4.0,0.207908719964766,51.0,5.030126367503351
0,1,3.0,3.0,5.0,4.0,13.0,2980000000.0,52.0,1,1,1,1,3.23,34.52,7.067045022908887,0.964922530872876,59.0,1.1287953025345878,17.0,0.5448243369580358,5.0,0.9025137244840112,8.0,0.7958655282815558,6.0,0.0269244935107706,44.0,5.088364417881627
0,1,3.0,3.0,5.0,4.0,13.0,4200000000.0,52.0,1,1,1,1,3.89,29.851,4.38503139445485,0.4121033006196985,89.0,1.020801536294697,40.0,0.7158844131112477,11.0,0.8293121717553118,36.0,1.551172138725318,7.0,0.0328308472180503,45.0,3.5311761369164216
0,1,1.0,3.0,5.0,5.0,11.6,2890000000.0,58.0,1,1,1,1,2.62,24.485,4.461557901346235,0.1733989438830429,135.0,0.0305450150507384,70.0,0.794278571905715,19.0,0.2076071235066953,37.0,1.4435863066626515,5.0,0.1181614011811564,40.0,4.6284685472765466
0,1,1.0,3.0,5.0,5.0,12.12,2680000000.0,60.0,1,1,1,1,2.17,32.947,3.184773385071648,0.0696718938111053,172.0,0.2659390659990112,81.0,0.5110507580872001,29.0,0.0932510708644168,63.0,1.848545827446116,8.0,0.1743181063292845,42.0,3.3424814045816604
0,1,2.0,3.0,6.0,5.0,12.4,2300000000.0,62.0,1,1,1,1,3.32,38.042,3.6745831092845913,0.3517058281966545,103.0,1.066645883462131,37.0,0.9607827361666568,17.0,0.1228654507037159,50.0,2.7351877334377805,2.0,0.1448124211405867,47.0,1.9831090837511047
