link,title,post_day,street,old_address,locality,region,listing_id,direction,listing_type,property_type,legal_status,num_floors,num_bedrooms,road_width_m,width_m,length_m,price_vnd,area_m2,dining_room_bin,kitchen_bin,terrace_bin,car_parking_bin,owner_listing_bin,locality_square,locality_population_density
https://alonhadat.com.vn/nha-moi-dep-full-noi-that-ngay-cho-tan-tru-nguyen-sy-sach-p15-tan-binh-no-hau--18771001.html,"NHÀ MỚI, ĐẸP FULL NỘI THẤT - NGAY CHỢ TÂN TRỤ - NGUYỄN SỸ SÁCH - P15 - TÂN BÌNH - NỞ HẬU -",2026-06-10,đường nguyễn sỹ sách,"Đường Nguyễn Sỹ Sách, Phường 15, Quận Tân Bình, Hồ Chí Minh (cũ)",phường tân sơn,hồ chí minh,18771001,unknown,can_ban,nha_trong_hem,so_hong_so_do,2,3,4.0,3.7,11.0,5450000000.0,40.0,1,1,1,1,0,"10,12",7.631
https://alonhadat.com.vn/45m-5ty7-nguyen-sy-sach-p15-tan-bin-ngay-cho-tan-tru-hem-4m-o-to-thong-18770264.html,45M - 5Tỷ7 - NGUYỄN SỸ SÁCH - P15 - TÂN BÌN - NGAY CHỢ TÂN TRỤ - HẺM 4M Ô TÔ THÔNG,2026-06-10,đường nguyễn sỹ sách,"Đường Nguyễn Sỹ Sách, Phường 15, Quận Tân Bình, Hồ Chí Minh (cũ)",phường tân sơn,hồ chí minh,18770264,unknown,can_ban,nha_trong_hem,so_hong_so_do,2,3,4.0,4.5,10.0,5700000000.0,45.0,1,1,1,1,0,"10,12",7.631
https://alonhadat.com.vn/58m-5-1ty-nguyen-sy-sach-p15-tan-binh-nha-moi-dep-full-noi-that-ngay-cho-tan-tru-18770303.html,"58M - 5,1Tỷ -NGUYỄN SỸ SÁCH, P15 ,TÂN BÌNH ,NHÀ MỚI, ĐẸP FULL NỘI THẤT - NGAY CHỢ TÂN TRỤ",2026-06-10,đường nguyễn sỹ sách,"Đường Nguyễn Sỹ Sách, Phường 15, Quận Tân Bình, Hồ Chí Minh (cũ)",phường tân sơn,hồ chí minh,18770303,unknown,can_ban,nha_trong_hem,so_hong_so_do,2,3,4.0,4.0,15.0,5100000000.0,58.0,1,1,1,1,0,"10,12",7.631
https://alonhadat.com.vn/40m-3ty5-nguyen-sy-sach-p15-tan-bin-ngay-cho-tan-tru-hem-ba-gac--18771278.html,40M- 3Tỷ5 - NGUYỄN SỸ SÁCH - P15 - TÂN BÌN - NGAY CHỢ TÂN TRỤ - HẺM BA GÁC -,2026-06-10,đường nguyễn sỹ sách,"Đường Nguyễn Sỹ Sách, Phường 15, Quận Tân Bình, Hồ Chí Minh (cũ)",phường tân sơn,hồ chí minh,18771278,unknown,can_ban,nha_trong_hem,so_hong_so_do,2,2,2.5,4.0,10.0,3500000000.0,40.0,1,1,1,1,0,"10,12",7.631
https://alonhadat.com.vn/-nguyen-sy-sach-p15-tan-binh-nha-moi-dep-full-noi-that-ngay-cho-tan-tru--18771150.html,"🔥NGUYỄN SỸ SÁCH - P15 - TÂN BÌNH - NHÀ MỚI, ĐẸP FULL NỘI THẤT - NGAY CHỢ TÂN TRỤ - 🚘",2026-06-10,đường nguyễn sỹ sách,"Đường Nguyễn Sỹ Sách, Phường 15, Quận Tân Bình, Hồ Chí Minh (cũ)",phường tân sơn,hồ chí minh,18771150,unknown,can_ban,nha_trong_hem,so_hong_so_do,2,2,4.0,31.0,10.0,3950000000.0,31.0,1,1,1,1,0,"10,12",7.631
https://alonhadat.com.vn/hem-2-sec-xo-viet-nghe-tinh-nha-4x15m-3-tang-4pn-5wc-tai-phuong-25-binh-thanh-gia-8-ty-5-16073253.html,Hẻm 2 sẹc Xô Viết Nghệ Tĩnh! Nhà(4x11m) 3 tầng 3pn 4wc tại phường 25 Bình Thạnh giá 8 tỷ 5,2026-06-09,đường xô viết nghệ tĩnh,"Đường Xô Viết Nghệ Tĩnh, Phường 25, Quận Bình Thạnh, Hồ Chí Minh (cũ)",phường thạnh mỹ tây,hồ chí minh,16073253,unknown,can_ban,nha_trong_hem,so_hong_so_do,3,4,3.0,4.0,11.0,8900000000.0,44.0,1,1,0,0,0,"4,40",34.822
https://alonhadat.com.vn/ban-nha-hxh-ht17-le-van-khuong-q12-70m2-3pn-hon-3-ty-18770468.html,BÁN NHÀ HXH - HT17 - LÊ VĂN KHƯƠNG- Q12 - 70M2 - 3PN - HƠN 3 TỶ,2026-06-09,đường lê văn khương,"Đường Lê Văn Khương, Phường Tân Thới Hiệp, Quận 12, Hồ Chí Minh (cũ)",phường tân thới hiệp,hồ chí minh,18770468,unknown,can_ban,nha_trong_hem,so_hong_so_do,2,3,4.0,4.5,16.0,3990000000.0,70.0,0,0,0,0,0,"8,06",20.851
https://alonhadat.com.vn/nha-5-tang-7-pn-5x13m-gia-17-5-ty-nguyen-cuu-van-p17-binh-thanh-hem-xe-hoi-ke-quan1-18770407.html,"Nhà 5 tầng, 7 PN, 5x13m, giá 17.5 tỷ, Nguyễn Cửu Vân, P17, Bình Thạnh. Hẻm xe hơi kế Quận1",2026-06-09,đường nguyễn cửu vân,"Đường Nguyễn Cửu Vân, Phường 17, Quận Bình Thạnh, Hồ Chí Minh (cũ)",phường gia định,hồ chí minh,18770407,unknown,can_ban,nha_trong_hem,so_hong_so_do,4,7,5.0,5.0,13.0,17500000000.0,60.0,0,0,0,0,0,"2,76",45.633
https://alonhadat.com.vn/-chdv-15-phong-moi-tinh-san-dong-tien-5x19m-6-tang-gan-hoc-vien-can-bo-18770403.html,🔥 CHDV 15 Phòng Mới Tinh - sẵn dòng tiền 5x19m - 6 tầng - gần Học Viện Cán Bộ,2026-06-09,đường phan chu trinh,"Đường Phan Chu Trinh, Phường 12, Quận Bình Thạnh, Hồ Chí Minh (cũ)",phường bình thạnh,hồ chí minh,18770403,unknown,can_ban,nha_trong_hem,unknown,6,15,8.0,5.0,19.0,16899999999.999998,90.0,0,0,0,0,0,"3,32",38.042
https://alonhadat.com.vn/nha-5x20m-hon-13-ty-duong-12m-binh-loi-p13-binh-thanh-gpxd-4-tang--18770367.html,"Nhà 5x20m, hơn 13 tỷ, đường 12m Bình Lợi, P13, Bình Thạnh. GPXD 4 tầng.",2026-06-09,đường bình lợi,"Đường Bình Lợi, Phường 13, Quận Bình Thạnh, Hồ Chí Minh (cũ)",phường bình lợi trung,hồ chí minh,18770367,unknown,can_ban,nha_trong_hem,so_hong_so_do,1,1,12.0,5.0,20.0,13400000000.0,100.0,0,0,0,0,0,"3,89",29.851
