,STT,Tên,Thuộc tỉnh/thành phố,Diện tích (km²),Dân số năm 2024 (người),Mật độ dân số (người/km²),Loại đô thị [ 2 ] (năm công nhận),Năm thành lập
0,1,Ái Quốc,Hải Phòng,"17,83",24.736,1.387,III (2026),2025
1,2,An Bình,Cần Thơ,"18,39",50.150,2.727,III (2026),2025
2,3,An Bình,Đồng Tháp,"50,07",33.314,665,II (2026),2025
3,4,An Bình,Gia Lai,"73,13",30.851,422,III (2026),2025
4,5,An Biên,Hải Phòng,"6,56",116.091,17.697,II (2026),2025
5,6,An Cựu,Huế,"16,71",55.305,3.310,II (2026),2025
6,7,An Dương,Hải Phòng,"31,23",76.879,2.462,II (2026),2025
7,8,An Đông,Thành phố Hồ Chí Minh,"1,32",81.229,61.537,II (2026),2025
8,9,An Hải,Đà Nẵng,"7,37",82.635,11.212,II (2026),2025
9,10,An Hải,Hải Phòng,"19,96",77.086,3.862,II (2026),2025
10,11,An Hội,Vĩnh Long,"31,90",53.476,1.676,III (2026),2025
11,12,An Hội Đông,Thành phố Hồ Chí Minh,"3,29",113.681,34.553,II (2026),2025
12,13,An Hội Tây,Thành phố Hồ Chí Minh,"3,81",121.004,31.760,II (2026),2025
13,14,An Khánh,Thành phố Hồ Chí Minh,"15,33",76.967,5.021,II (2026),2025
14,15,An Khê,Đà Nẵng,"12,36",93.625,7.575,II (2026),2025
15,16,An Khê,Gia Lai,"57,44",50.495,879,III (2026),2025
16,17,An Lạc,Thành phố Hồ Chí Minh,"10,47",172.134,16.441,II (2026),2025
17,18,An Lộc,Đồng Nai,"88,74",35.531,400,III (2026),2025
18,19,An Nhơn,Gia Lai,"34,62",49.408,1.427,II (2026),2025
19,20,An Nhơn,Thành phố Hồ Chí Minh,"3,23",111.498,34.520,II (2026),2025
20,21,An Nhơn Bắc,Gia Lai,"31,95",38.484,1.205,II (2026),2025
21,22,An Nhơn Đông,Gia Lai,"17,21",26.443,1.536,II (2026),2025
22,23,An Nhơn Nam,Gia Lai,"60,05",31.651,527,II (2026),2025
23,24,An Phong,Hải Phòng,"27,92",44.660,1.600,II (2026),2025
24,25,An Phú,Gia Lai,"32,49",40.684,1.252,III (2026),2025
25,26,An Phú,Thành phố Hồ Chí Minh,"16,85",162.930,9.669,II (2026),2025
26,27,An Phú Đông,Thành phố Hồ Chí Minh,"14,59",179.115,12.277,II (2026),2025
27,28,An Sinh,Quảng Ninh,"106,42",24.956,235,II (2026),2025
28,29,An Thắng,Đà Nẵng,"19,64",34.176,1.740,III (2026),2025
29,30,An Tịnh,Tây Ninh,"78,44",61.212,780,II (2026),2025
30,31,An Tường,Tuyên Quang,"53,44",42.952,804,III (2026),2025
31,32,An Xuyên,Cà Mau,"69,90",81.303,1.163,III (2026),2025
32,33,Ayun Pa,Gia Lai,"17,61",26.820,1.523,III (2026),2025
33,34,Âu Cơ,Phú Thọ,"12,51",18.951,1.515,II (2026),2025
34,35,Âu Lâu,Lào Cai,"66,17",23.245,351,III (2026),2025
35,36,B'Lao,Lâm Đồng,"33,72",51.538,1.528,II (2026),2025
36,37,Ba Đình,Hà Nội,"2,97",65.023,21.893,II (2026),2025
37,38,Ba Đồn,Quảng Trị,"20,45",28.805,1.409,III (2026),2025
38,39,Ba Ngòi,Khánh Hòa,"78,18",31.708,406,II (2026),2025
39,40,Bà Rịa,Thành phố Hồ Chí Minh,"15,55",52.265,3.361,II (2026),2025
40,41,Bá Xuyên,Thái Nguyên,"21,13",20.065,950,III (2026),2025
41,42,Bạc Liêu,Cà Mau,"29,73",93.463,3.144,II (2026),2025
42,43,Bạch Đằng,Hải Phòng,"53,49",51.633,965,II (2026),2025
43,44,Bạch Mai,Hà Nội,"2,95",129.571,43.922,II (2026),2025
44,45,Bách Quang,Thái Nguyên,"35,02",26.668,762,III (2026),2025
45,46,Bãi Cháy,Quảng Ninh,"25,39",42.108,1.658,II (2026),2025
