,STT,Tên,Thuộc tỉnh/thành phố,Diện tích (km²),Dân số năm 2025 (người),Mật độ dân số (người/km²),Năm thành lập
0,1,A Dơi,Quảng Trị,"112,41",11.058,98,2025
1,2,A Lưới 1,Huế,"198,59",12.403,62,2025
2,3,A Lưới 2,Huế,"97,62",20.496,210,2025
3,4,A Lưới 3,Huế,"154,23",8.976,58,2025
4,5,A Lưới 4,Huế,"233,66",10.752,46,2025
5,6,A Lưới 5,Huế,"464,40",3.760,8,2025
6,7,A Mú Sung,Lào Cai,"104,44",5.955,57,2025
7,8,A Sào,Hưng Yên,"20,46",27.967,1.367,2025
8,9,Ái Quốc,Hưng Yên,"14,98",16.704,1.115,2025
9,10,Ái Tử,Quảng Trị,"116,74",19.061,163,2025
10,11,Al Bá,Gia Lai,"109,06",17.420,160,2025
11,12,An Biên,An Giang,"118,27",53.784,455,2025
12,13,An Bình,Phú Thọ,"127,40",18.952,149,2025
13,14,An Bình,Vĩnh Long,"61,84",51.382,831,2025
14,15,An Châu,An Giang,"70,25",65.588,934,2025
15,16,An Châu,Nghệ An,"34,87",43.437,1.246,2025
16,17,An Cư,An Giang,"94,30",39.956,424,2025
17,18,An Định,Vĩnh Long,"46,59",37.688,809,2025
18,19,An Hiệp,Vĩnh Long,"56,33",31.248,555,2025
19,20,An Hòa,Đồng Tháp,"77,89",19.033,244,2025
20,21,An Hòa,Gia Lai,"101,48",14.182,140,2025
21,22,An Hưng,Hải Phòng,"20,23",25.535,1.262,2025
22,23,An Hữu,Đồng Tháp,"43,94",52.177,1.187,2025
23,24,An Khánh,Hà Nội,"28,69",102.136,3.560,2025
24,25,An Khánh,Hải Phòng,"24,16",33.936,1.405,2025
25,26,An Khánh,Thái Nguyên,"45,09",20.104,446,2025
26,27,An Lạc,Bắc Ninh,"134,15",8.331,62,2025
27,28,An Lạc Thôn,Cần Thơ,"84,99",56.248,662,2025
28,29,An Lão,Gia Lai,"103,87",10.703,103,2025
29,30,An Lão,Hải Phòng,"26,39",47.189,1.788,2025
30,31,An Long,Đồng Tháp,"72,19",50.050,693,2025
31,32,An Long,Thành phố Hồ Chí Minh,"100,05",17.906,179,2025
32,33,An Lục Long,Tây Ninh,"33,75",29.485,874,2025
33,34,An Lương,Gia Lai,"66,57",37.958,570,2025
34,35,An Minh,An Giang,"142,29",35.596,250,2025
