property_type,legal_status,num_floors,num_bedrooms,road_width_m,width_m,length_m,price_vnd,area_m2,dining_room_bin,kitchen_bin,terrace_bin,car_parking_bin,locality_square,locality_population_density,distance_to_center_km,nearest_school_km,school_count_3km,nearest_hospital_km,hospital_count_5km,nearest_marketplace_km,marketplace_count_3km,nearest_supermarket_km,supermarket_count_3km,nearest_mall_km,mall_count_3km,nearest_bus_stop_km,bus_stop_count_1km,nearest_metro_km
0,0,3.0,3.0,4.0,4.1,12.5,8900000000.0,50.0,0,0,0,0,3.32,38.042,3.067975386545508,0.1536564277820822,117.0,0.3253671289426457,47.0,0.3173412790612379,16.0,0.127429078630904,61.0,3.0678526059733926,0.0,0.1082694455382833,47.0,2.0800873263501067
1,0,10.0,15.0,30.0,5.5377492419453835,16.61324772583615,110000000000.0,92.0,0,0,0,0,3.04,15.468,0.6277042037044096,0.4752517013792162,114.0,0.3183914802084917,68.0,0.915369003541698,22.0,0.3312733645976148,97.0,0.690744449731313,15.0,0.0895344751277696,68.0,0.3523202858879943
0,0,3.0,5.0,16.0,7.416198487095663,22.24859546128699,45000000000.0,165.0,0,0,0,0,1.46,46.863,3.689531835435336,0.4288570629001585,154.0,0.3118117616331108,76.0,0.5711071626172188,19.0,0.2563639381331828,53.0,1.9454943767766408,6.0,0.1553122603368634,47.0,3.900284792001561
1,1,1.0,3.0,6.0,6.0,20.0,930000000.0,120.0,1,1,1,1,21.33,3.572,18.981265909737505,0.4280784417305304,11.0,3.4931253947015146,3.0,0.2548342903826288,1.0,4.705567554113852,0.0,5.003439779735623,0.0,0.1251590262960086,12.0,5.088364417881627
1,1,2.0,4.0,12.0,4.0,15.0,20000000000.0,60.0,0,0,0,0,1.23,39.45,1.8341731692460648,0.1037729567112353,143.0,0.3167659159924683,74.0,0.2917832726058462,27.0,0.1248165769533943,100.0,1.4754329743928578,13.0,0.1220474644889992,50.0,2.0311407966409747
1,1,1.0,3.0,7.0,5.0,18.0,1050000000.0,90.0,0,0,0,0,32.4,5.665,7.48932886994524,0.6448315462720459,43.0,0.2380804425885271,37.0,2.021535451378851,9.0,1.92248837215138,5.0,1.961152241436052,3.0,0.1549795339773221,18.0,5.088364417881627
1,1,4.0,6.0,50.0,4.6,21.0,45000000000.0,300.0,0,0,0,0,1.85,38.809,0.9030639858522528,0.1764317325313514,146.0,0.3786499075275946,88.0,0.3340491056014009,40.0,0.0243052720372051,101.0,0.3829654363777388,19.0,0.0311660268603045,104.0,0.1703670445237422
1,1,4.0,6.0,25.0,5.3,18.0,11600000000.0,63.0,1,1,1,1,3.89,29.851,4.193692198045986,0.2964289749244463,89.0,1.0201470766061114,36.0,0.3530005832131173,14.0,0.2431588066858871,36.0,2.033952162050202,5.0,0.1253517781441358,48.0,3.0225326888196205
1,0,1.0,1.0,12.0,16.0,20.0,48000000000.0,320.0,0,0,0,0,3.32,38.042,3.067975386545508,0.1536564277820822,117.0,0.3253671289426457,47.0,0.3173412790612379,16.0,0.127429078630904,61.0,3.0678526059733926,0.0,0.1082694455382833,47.0,2.0800873263501067
1,1,3.0,1.0,30.0,8.0,38.0,54000000000.0,260.0,0,0,0,0,2.86,46.242,5.663340741505686,0.1473476096176288,150.0,0.2979988637951992,66.0,0.497850949494493,20.0,0.8996613450039174,33.0,0.8561505937261217,4.0,0.0868121430323918,35.0,5.088364417881627
1,0,8.0,15.0,20.0,8.2,25.0,68000000000.0,200.0,0,0,0,0,2.76,45.633,2.1822596604592133,0.1711869088091718,99.0,1.4231773041651654,47.0,0.3601758043190207,17.0,0.3160654149244814,56.0,2.343508123557825,12.0,0.0265506988051478,43.0,0.6903391017798891
1,1,3.0,3.0,10.0,4.4,14.0,23000000000.0,46.0,0,0,0,0,1.46,46.863,3.64874386295914,0.2878961783175112,165.0,0.3135440856087358,80.0,0.1771691696337695,25.0,0.1848828707573728,54.0,2.1698780565540328,7.0,0.2253499087805442,45.0,3.7985822441523314
1,0,4.0,6.0,6.0,14.0,25.0,70000000000.0,303.0,1,1,1,1,15.33,5.021,3.242272702926816,0.4644541079433794,53.0,1.7631624559602346,30.0,0.9995120096449168,11.0,0.8095548246772732,32.0,1.6542081149097525,6.0,0.0886730542335018,24.0,1.6366304217427186
1,0,4.0,4.0,35.0,8.0,37.0,52000000000.0,304.0,0,0,0,0,2.86,46.242,5.663340741505686,0.1473476096176288,150.0,0.2979988637951992,66.0,0.497850949494493,20.0,0.8996613450039174,33.0,0.8561505937261217,4.0,0.0868121430323918,35.0,5.088364417881627
1,1,4.0,4.0,6.0,4.7,15.0,4100000000.0,70.0,0,0,0,0,1.05,60.279,5.970700303605756,0.1924197960283857,182.0,0.8182903068587544,67.0,0.2140813915979963,43.0,0.7484065514244114,26.0,0.4514295837049246,6.0,0.0578438960653726,63.0,5.088364417881627
1,1,4.0,5.0,4.0,3.0,10.0,6900000000.0,29.0,0,0,0,0,1.86,40.663,4.370228574489283,0.0955705753485068,206.0,0.1150888925261856,81.0,0.6282825210251768,52.0,0.4252140092931471,51.0,0.3993011928725213,11.0,0.1348810061078803,90.0,3.78649852564279
1,1,4.0,6.0,8.0,4.8,14.5,4100000000.0,67.0,0,0,0,0,1.27,71.502,5.4981550614595305,0.3204995810511588,207.0,0.5868423168400075,76.0,0.3265487813943404,56.0,0.799803845128039,30.0,0.4132707628110579,5.0,0.0904268144777127,79.0,4.964989669818176
1,1,2.0,4.0,5.0,5.0,16.8,4770000000.0,81.0,0,0,0,0,1.28,49.645,3.014593454140083,0.3241044718172312,169.0,0.3112080841955486,82.0,0.159361009708267,44.0,0.7452963371051138,87.0,1.0997159326303276,20.0,0.1351310290030301,57.0,2.2897201696442395
1,1,3.0,4.0,8.0,6.0,13.4,5380000000.0,80.0,1,1,1,1,1.23,39.45,1.8341731692460648,0.1037729567112353,143.0,0.3167659159924683,74.0,0.2917832726058462,27.0,0.1248165769533943,100.0,1.4754329743928578,13.0,0.1220474644889992,50.0,2.0311407966409747
1,1,6.0,12.0,30.0,4.0,16.0,52000000000.0,350.0,0,0,0,0,1.85,38.809,0.9030639858522528,0.1764317325313514,146.0,0.3786499075275946,88.0,0.3340491056014009,40.0,0.0243052720372051,101.0,0.3829654363777388,19.0,0.0311660268603045,104.0,0.1703670445237422
1,1,4.0,10.0,30.0,8.2,21.0,68000000000.0,150.0,1,1,1,1,1.32,61.537,3.697926043243007,0.1718438296278109,193.0,0.0808248175898799,81.0,0.0685624175584255,51.0,0.0700867890565216,70.0,0.0913558508966055,13.0,0.1041175126627032,91.0,3.0810228719302075
1,1,6.0,10.0,20.0,4.0,18.0,49000000000.0,69.0,1,1,1,1,1.6,49.209,2.4556959745761966,0.3459743034941879,179.0,0.0153283944002021,91.0,0.5085132998948451,47.0,0.339885480764521,99.0,0.5212950285564317,20.0,0.106431556512389,75.0,1.7626609538487792
