property_type,legal_status,num_floors,num_bedrooms,road_width_m,width_m,length_m,area_m2,dining_room_bin,kitchen_bin,terrace_bin,car_parking_bin,locality_square,locality_population_density,distance_to_center_km,nearest_school_km,school_count_3km,nearest_hospital_km,hospital_count_5km,nearest_marketplace_km,marketplace_count_3km,nearest_supermarket_km,supermarket_count_3km,nearest_mall_km,mall_count_3km,nearest_bus_stop_km,bus_stop_count_1km,nearest_metro_km,perimeter_m,shape_ratio,area_x_floors,area_x_bedrooms,area_per_bedroom,distance_vs_area,log_area,log_distance_to_center,log_population_density,location_score,amenity_score,interaction_loc_amenity,nearby_amenities,nearest_metro_km_missing,nearest_mall_km_missing,nearest_supermarket_km_missing,width_m_missing,length_m_missing
0,0,3.0,3.0,4.0,4.1,12.5,50.0,0,0,0,0,,38.042,3.067975386545508,0.1536564277820822,117.0,0.3253671289426457,47.0,0.3173412790612379,16.0,0.127429078630904,61.0,3.0678526059733926,0.0,0.1082694455382833,47.0,2.0800873263501067,33.2,0.33333333333333326,150.0,150.0,12.5,0.0601563801283433,3.9318256327243257,1.4031454276629718,3.664637989740902,31.694506866496983,248.5,7876.0849563245,288.0,0,0,0,0,0
0,0,3.0,5.0,16.0,7.416198487095663,22.24859546128699,165.0,0,0,0,0,,46.863,3.689531835435336,0.4288570629001585,154.0,0.3118117616331108,76.0,0.5711071626172188,19.0,0.2563639381331828,53.0,1.9454943767766408,6.0,0.1553122603368634,47.0,3.900284792001561,59.329587896765304,0.3363163694163905,495.0,825.0,27.5,0.022226095394188773,5.111987788356544,1.5453327556068552,3.868342763340647,29.592302267795795,333.0,9854.236655175999,355.0,0,0,0,0,0
1,1,2.0,4.0,12.0,4.0,15.0,60.0,0,0,0,0,,39.45,1.8341731692460648,0.1037729567112353,143.0,0.3167659159924683,74.0,0.2917832726058462,27.0,0.1248165769533943,100.0,1.4754329743928578,13.0,0.1220474644889992,50.0,2.0311407966409747,38.0,0.271523178807947,120.0,240.0,12.0,0.030068412610591226,4.110873864173311,1.041750243581685,3.700066643504501,36.07772686521239,380.0,13709.536208780708,407.0,0,0,0,0,0
1,1,4.0,6.0,50.0,4.6,21.0,300.0,0,0,0,0,,38.809,0.9030639858522528,0.1764317325313514,146.0,0.3786499075275946,88.0,0.3340491056014009,40.0,0.0243052720372051,101.0,0.3829654363777388,19.0,0.0311660268603045,104.0,0.1703670445237422,51.2,0.22274881516587672,1200.0,1800.0,42.857142857142854,0.003000212577582235,5.707110264748875,0.6434652114230809,3.684093017379976,41.370837572562984,417.0,17251.639267758765,498.0,0,0,0,0,0
1,1,4.0,6.0,25.0,5.3,18.0,63.0,1,1,1,1,,29.851,4.193692198045986,0.2964289749244463,89.0,1.0201470766061114,36.0,0.3530005832131173,14.0,0.2431588066858871,36.0,2.033952162050202,5.0,0.1253517781441358,48.0,3.0225326888196205,46.6,0.29834254143646405,252.0,378.0,9.0,0.06552644059446854,4.1588830833596715,1.6474448504229384,3.429169164736904,26.142302198305014,189.0,4940.895115479648,228.0,0,0,0,0,0
1,0,1.0,1.0,12.0,16.0,20.0,320.0,0,0,0,0,,38.042,3.067975386545508,0.1536564277820822,117.0,0.3253671289426457,47.0,0.3173412790612379,16.0,0.127429078630904,61.0,3.0678526059733926,0.0,0.1082694455382833,47.0,2.0800873263501067,72.0,0.8009950248756219,320.0,320.0,160.0,0.009557555721325571,5.771441123130016,1.4031454276629718,3.664637989740902,31.694506866496983,248.5,7876.0849563245,288.0,0,0,0,0,0
1,1,3.0,3.0,10.0,4.4,14.0,46.0,0,0,0,0,,46.863,3.64874386295914,0.2878961783175112,165.0,0.3135440856087358,80.0,0.1771691696337695,25.0,0.1848828707573728,54.0,2.1698780565540328,7.0,0.2253499087805442,45.0,3.7985822441523314,36.8,0.3191489361702128,138.0,138.0,11.5,0.07763284814806681,3.8501476017100584,1.5365970461076595,3.868342763340647,30.52332180030026,353.0,10774.732595505991,376.0,0,0,0,0,0
1,1,4.0,4.0,6.0,4.7,15.0,70.0,0,0,0,0,,60.279,5.970700303605756,0.1924197960283857,182.0,0.8182903068587544,67.0,0.2140813915979963,43.0,0.7484065514244114,26.0,0.4514295837049246,6.0,0.0578438960653726,63.0,5.088364417881627,39.4,0.31788079470198677,280.0,280.0,14.0,0.08409437047332051,4.2626798770413155,1.9417156937002618,4.115437206761328,30.587881329452454,320.5,9803.415966089511,387.0,0,0,0,0,0
1,1,4.0,5.0,4.0,3.0,10.0,29.0,0,0,0,0,,40.663,4.370228574489283,0.0955705753485068,206.0,0.1150888925261856,81.0,0.6282825210251768,52.0,0.4252140092931471,51.0,0.3993011928725213,11.0,0.1348810061078803,90.0,3.78649852564279,26.0,0.3069306930693069,116.0,145.0,4.833333333333333,0.14567428581630942,3.4011973816621555,1.680870472696709,3.729613444761964,38.01399875259921,400.5,15224.606500415983,491.0,0,0,0,0,0
1,1,4.0,6.0,8.0,4.8,14.5,67.0,0,0,0,0,,71.502,5.4981550614595305,0.3204995810511588,207.0,0.5868423168400075,76.0,0.3265487813943404,56.0,0.799803845128039,30.0,0.4132707628110579,5.0,0.0904268144777127,79.0,4.964989669818176,38.6,0.33561643835616434,268.0,402.0,9.571428571428571,0.08085522149205192,4.219507705176107,1.871518299913798,4.283614147687033,30.96565387071636,361.0,11178.601047328606,453.0,0,0,0,0,0
