model,lr,depth,n_est,alpha,lambda,mape,subsample,iterations
xgb,0.03,8,1800.0,,,19.497913832887463,0.9,
xgb,0.02,8,1800.0,,,19.50829816055467,0.8,
xgb,0.02,8,1800.0,,,19.516932539600372,0.7,
xgb,0.03,8,1500.0,,,19.51747715958183,0.9,
xgb,0.02,8,1500.0,,,19.526734634655554,0.7,
xgb,0.02,9,1800.0,,,19.559864034987317,0.8,
xgb,0.02,8,1500.0,,,19.56011410847375,0.8,
xgb,0.03,8,1200.0,,,19.560780046267563,0.9,
xgb,0.02,9,1500.0,,,19.571896532946045,0.8,
catboost,0.04,10,,,,19.57231238197561,,1800.0
xgb,0.02,8,1200.0,,,19.58303076442572,0.7,
xgb,0.03,8,1000.0,,,19.594919902532933,0.9,
catboost,0.04,10,,,,19.598525928606954,,1500.0
xgb,0.02,9,1200.0,,,19.60276090882502,0.8,
xgb,0.03,7,1800.0,,,19.609777235553477,0.7,
xgb,0.02,8,1200.0,,,19.616681969843615,0.8,
xgb,0.02,9,1800.0,,,19.622008416508784,0.9,
catboost,0.05,9,,,,19.626349773849455,,1800.0
xgb,0.03,7,1500.0,,,19.63071242535888,0.7,
catboost,0.05,9,,,,19.638546798565194,,1500.0
xgb,0.02,9,1500.0,,,19.640332751006472,0.9,
xgb,0.03,6,1800.0,,,19.6462873823579,0.8,
xgb,0.02,8,1800.0,,,19.64648447792365,0.9,
xgb,0.02,9,1000.0,,,19.64903934466901,0.8,
xgb,0.05,8,1800.0,,,19.657373529244797,0.7,
xgb,0.05,8,1500.0,,,19.662652507857754,0.7,
xgb,0.04,8,1800.0,,,19.664365799197007,0.7,
xgb,0.02,8,1000.0,,,19.666537163629112,0.7,
xgb,0.05,8,1200.0,,,19.66729292161889,0.7,
xgb,0.03,7,1800.0,,,19.669178004338022,0.8,
xgb,0.04,8,1500.0,,,19.67395148042731,0.7,
xgb,0.05,8,1000.0,,,19.675380453110055,0.7,
xgb,0.02,10,1800.0,,,19.678214074957438,0.8,
xgb,0.02,7,1800.0,,,19.680437098085072,0.7,
xgb,0.02,9,1200.0,,,19.680629622690166,0.9,
xgb,0.02,10,1500.0,,,19.68183410811689,0.8,
xgb,0.04,7,1800.0,,,19.687409707426394,0.9,
xgb,0.02,8,1000.0,,,19.68800742611691,0.8,
xgb,0.06,6,1800.0,,,19.68801123629444,0.9,
xgb,0.03,6,1500.0,,,19.688160342177635,0.8,
catboost,0.03,10,,,,19.688644373480084,,1800.0
