iter	RMSE
0	0.7130692354
1	0.6990843881
2	0.6860551562
3	0.6734402836
4	0.6616072378
5	0.6498362963
6	0.6382225984
7	0.6266264598
8	0.6152750789
9	0.6045414451
10	0.594434551
11	0.5843688703
12	0.5743226472
13	0.5649499842
14	0.555610705
15	0.5466384386
16	0.5378672806
17	0.5300731187
18	0.5212869478
19	0.5131420455
20	0.5053042819
21	0.4977912801
22	0.4906860083
23	0.4834775237
24	0.4764966854
25	0.4697878456
26	0.46321714
27	0.4569885492
28	0.4509636961
29	0.4454375143
30	0.4399652031
31	0.434548661
32	0.4290958794
33	0.4242850408
34	0.4192730137
35	0.4144919434
36	0.4096815662
37	0.4048962681
38	0.4007532012
39	0.3963712123
40	0.3922427176
41	0.3885219533
42	0.3843867443
43	0.3808097932
44	0.3772212885
45	0.3738635413
46	0.370461185
47	0.3671670389
48	0.3638271424
49	0.3604906902
50	0.3574796134
51	0.3544138382
52	0.3516220188
53	0.3486560845
54	0.3457760515
55	0.3430429232
56	0.3404371795
57	0.3379814797
58	0.3356154516
59	0.3335754091
60	0.3311979248
61	0.3291224499
62	0.3271519013
63	0.3251074211
64	0.3229237409
65	0.3210570575
66	0.3192076148
67	0.31745884
68	0.3158461748
69	0.3139803797
70	0.3122994585
71	0.3108303676
72	0.3091890336
73	0.3075879464
74	0.3063094648
75	0.3047777959
76	0.303552247
77	0.3020764043
78	0.3006532513
79	0.2994487218
80	0.2982097949
81	0.2969743156
82	0.2955917436
83	0.2945341955
84	0.2933704064
85	0.292261843
86	0.2912383192
87	0.2902684985
88	0.2892912713
89	0.2882856872
90	0.2874464318
91	0.2864507597
92	0.2855536378
93	0.2847508889
94	0.2836982422
95	0.2827963838
96	0.281943439
97	0.2809877724
98	0.2802243029
99	0.2792895933
100	0.2785863306
101	0.2779250597
102	0.2772528989
103	0.2765690543
104	0.2759148315
105	0.2750646303
106	0.2742838026
107	0.2736005452
108	0.2728896113
109	0.2720541073
110	0.2714593752
111	0.2707376598
112	0.2701741899
113	0.2695793581
114	0.2689814773
115	0.2683963387
116	0.2677716856
117	0.2672097437
118	0.2667680256
119	0.2663238254
120	0.265790999
121	0.2652340009
122	0.2646441683
123	0.2641423103
124	0.263597825
125	0.2631686724
126	0.2627289999
127	0.2624080349
128	0.2618835923
129	0.261518861
130	0.2610994593
131	0.2607129549
132	0.2601605076
133	0.2597333283
134	0.2592168695
135	0.2587439594
136	0.2584131304
137	0.2579456642
138	0.2575856206
139	0.2572639138
140	0.2569049437
141	0.2565017825
142	0.2561915199
143	0.2558424397
144	0.2554003304
145	0.2550530977
146	0.2546685606
147	0.2543918127
148	0.2540189998
149	0.2537510915
150	0.2532893938
151	0.252816484
152	0.2523582698
153	0.2519873899
154	0.2515522281
155	0.2513561412
156	0.2509216909
157	0.2504875856
158	0.2501459149
159	0.249837076
160	0.2495755813
161	0.2492861829
162	0.2490093435
163	0.2486671558
164	0.2483223577
165	0.2479888477
166	0.2476634465
167	0.2473007408
168	0.2470872576
169	0.246703683
170	0.2463302501
171	0.2459307496
172	0.2454182419
173	0.2451819169
174	0.2448272144
175	0.2445599649
176	0.2441422998
177	0.2439230107
178	0.2437179939
179	0.2433922664
180	0.2431489356
181	0.2428253225
182	0.242492792
183	0.2422761427
184	0.2420996644
185	0.2418770582
186	0.24163028
187	0.2413623227
188	0.2411472759
189	0.240903423
190	0.2406678956
191	0.2402218663
192	0.2399236826
193	0.2396667524
194	0.2393347042
195	0.2391390792
196	0.238728858
197	0.2384201844
198	0.2382218398
199	0.2378284272
200	0.2374504164
201	0.2373070122
202	0.237089655
203	0.2367225742
204	0.2365409603
205	0.2362861333
206	0.2360704826
207	0.2358422678
208	0.2356714732
209	0.2353006512
210	0.2351156534
211	0.2348989608
212	0.2346888717
213	0.2344959352
214	0.2342632483
215	0.2340356345
216	0.2338541012
217	0.2336736908
218	0.2333807009
219	0.2329806824
220	0.2327190045
221	0.2325413979
222	0.2322602492
223	0.2320806156
224	0.2318044784
225	0.2315699584
226	0.2312326224
227	0.2309919525
228	0.2307276693
229	0.2305238351
230	0.2302229011
231	0.2300056663
232	0.2297925741
233	0.2295515722
234	0.2293374069
235	0.2291228989
236	0.2287899885
237	0.2285370483
238	0.2283177829
239	0.2279839542
240	0.2275672681
241	0.2273744188
242	0.2272103967
243	0.2268204595
244	0.2266152205
245	0.2263165936
246	0.2261628331
247	0.2259708254
248	0.2257681295
249	0.2253723893
250	0.2251334161
251	0.2248172713
252	0.2246849377
253	0.2244674469
254	0.2240907691
255	0.2237695689
256	0.2235450923
257	0.2233708109
258	0.2231776095
259	0.2229061645
260	0.2227455843
261	0.2225897776
262	0.2224200754
263	0.2222030975
264	0.2219948276
265	0.2218150354
266	0.2216510453
267	0.2214428164
268	0.2212643127
269	0.2210322242
270	0.2209080727
271	0.2206712537
272	0.220560274
273	0.2203624588
274	0.2201174586
275	0.2197209826
276	0.2195048127
277	0.2191578362
278	0.2188979865
279	0.2185496197
280	0.2182209499
281	0.2181181972
282	0.2179551413
283	0.2177982928
284	0.2176555717
