iter	Passed	Remaining
0	168	83947
1	184	45827
2	200	33153
3	234	29052
4	252	25041
5	271	22320
6	286	20193
7	303	18644
8	325	17776
9	342	16790
10	363	16173
11	379	15450
12	398	14945
13	419	14564
14	436	14123
15	454	13763
16	471	13401
17	489	13111
18	510	12928
19	534	12830
20	556	12691
21	581	12644
22	604	12536
23	623	12373
24	640	12176
25	656	11967
26	673	11805
27	694	11709
28	714	11606
29	736	11539
30	753	11394
31	770	11271
32	787	11149
33	805	11033
34	821	10914
35	846	10909
36	864	10812
37	880	10710
38	898	10615
39	916	10539
40	935	10470
41	953	10397
42	972	10333
43	990	10266
44	1010	10217
45	1030	10171
46	1051	10133
47	1074	10114
48	1094	10070
49	1113	10021
50	1137	10015
51	1163	10021
52	1195	10082
53	1228	10147
54	1261	10210
55	1295	10273
56	1321	10273
57	1350	10290
58	1376	10288
59	1403	10293
60	1428	10277
61	1460	10318
62	1494	10369
63	1525	10395
64	1553	10396
65	1581	10397
66	1606	10385
67	1625	10326
68	1645	10276
69	1664	10225
70	1682	10167
71	1702	10120
72	1722	10072
73	1741	10024
74	1761	9980
75	1789	9983
76	1810	9948
77	1831	9910
78	1850	9859
79	1871	9823
80	1894	9801
81	1914	9759
82	1931	9706
83	1950	9657
84	1970	9621
85	1988	9570
86	2006	9523
87	2023	9471
88	2039	9419
89	2057	9370
90	2073	9318
91	2091	9273
92	2108	9227
93	2126	9186
94	2144	9144
95	2162	9099
96	2178	9051
97	2197	9012
98	2217	8981
99	2240	8961
100	2259	8927
101	2278	8891
102	2298	8857
103	2322	8843
104	2361	8882
105	2382	8856
106	2412	8859
107	2430	8821
108	2450	8790
109	2466	8745
110	2489	8723
111	2509	8695
112	2527	8656
113	2545	8617
114	2563	8582
115	2581	8545
116	2599	8508
117	2620	8483
118	2639	8449
119	2658	8417
120	2676	8382
121	2694	8349
122	2713	8316
123	2731	8283
124	2750	8251
125	2770	8223
126	2789	8191
127	2806	8156
128	2827	8132
129	2845	8099
130	2863	8064
131	2882	8034
132	2899	8000
133	2918	7971
134	2941	7953
135	2961	7925
136	2981	7900
137	3000	7871
138	3020	7844
139	3041	7821
140	3064	7801
141	3084	7775
142	3102	7745
143	3121	7716
144	3140	7688
145	3160	7664
146	3179	7635
147	3197	7605
148	3217	7579
149	3236	7551
150	3256	7525
151	3276	7500
152	3295	7473
153	3315	7450
154	3339	7433
155	3370	7431
156	3392	7412
157	3413	7388
158	3436	7370
159	3464	7362
160	3488	7346
161	3509	7321
162	3530	7298
163	3550	7274
164	3571	7250
165	3594	7233
166	3616	7210
167	3639	7192
168	3660	7168
169	3683	7150
170	3700	7120
171	3718	7091
172	3736	7061
173	3756	7038
174	3775	7012
175	3792	6982
176	3811	6954
177	3832	6932
178	3849	6902
179	3872	6883
180	3890	6856
181	3908	6828
182	3925	6799
183	3943	6772
184	3972	6764
185	3990	6737
186	4009	6710
187	4027	6683
188	4044	6655
189	4061	6627
190	4079	6599
191	4096	6572
192	4113	6543
193	4132	6518
194	4149	6489
195	4164	6459
196	4181	6431
197	4197	6402
198	4213	6373
199	4232	6348
200	4249	6321
201	4267	6295
202	4286	6271
203	4303	6243
204	4320	6217
205	4339	6193
206	4358	6169
207	4376	6143
208	4403	6130
209	4420	6104
210	4436	6077
211	4454	6051
212	4472	6026
213	4496	6009
214	4516	5987
215	4536	5964
216	4556	5942
217	4575	5918
218	4596	5897
219	4616	5875
220	4636	5853
221	4657	5832
222	4676	5809
223	4695	5785
224	4714	5762
225	4733	5738
226	4750	5713
227	4770	5691
228	4789	5668
229	4806	5641
230	4824	5618
231	4841	5593
232	4859	5568
233	4879	5546
234	4898	5523
235	4917	5501
236	4936	5477
237	4953	5453
238	4969	5427
239	4988	5404
240	5005	5379
241	5023	5356
242	5041	5332
243	5058	5307
244	5077	5284
245	5094	5260
246	5110	5235
247	5127	5209
248	5144	5185
249	5160	5160
250	5178	5137
251	5195	5113
252	5213	5090
253	5231	5066
254	5249	5043
255	5267	5020
256	5284	4996
257	5303	4974
258	5323	4953
259	5357	4945
260	5377	4924
261	5394	4900
262	5411	4876
263	5429	4853
264	5453	4836
265	5471	4812
266	5489	4790
267	5508	4768
268	5525	4744
269	5545	4724
270	5564	4702
271	5582	4679
272	5598	4655
273	5616	4632
274	5634	4610
275	5651	4586
276	5668	4563
277	5685	4540
278	5704	4518
279	5722	4496
280	5739	4473
281	5756	4450
282	5780	4432
283	5797	4409
284	5815	4387
285	5833	4365
286	5851	4342
287	5869	4320
288	5889	4299
289	5907	4277
290	5926	4256
291	5945	4234
292	5967	4215
293	5984	4193
294	6002	4171
295	6019	4148
296	6036	4126
297	6054	4103
298	6081	4088
299	6098	4065
300	6116	4043
301	6133	4021
302	6149	3998
303	6166	3975
304	6184	3954
305	6201	3931
306	6218	3909
307	6236	3887
308	6255	3866
309	6271	3843
310	6289	3821
311	6307	3800
312	6326	3779
313	6344	3758
314	6361	3735
315	6378	3713
316	6395	3691
317	6412	3670
318	6429	3648
319	6446	3626
320	6464	3604
321	6485	3585
322	6501	3562
323	6518	3540
324	6533	3518
325	6549	3495
326	6565	3473
327	6584	3452
328	6601	3431
329	6619	3409
330	6636	3388
331	6654	3367
332	6671	3345
333	6689	3324
334	6706	3302
335	6723	3281
336	6740	3260
337	6757	3238
338	6776	3218
339	6797	3198
340	6819	3179
341	6837	3158
342	6857	3138
343	6875	3118
344	6895	3097
345	6916	3078
346	6933	3056
347	6941	3031
348	6959	3011
349	6976	2989
350	6992	2968
351	7017	2950
352	7034	2929
353	7052	2908
354	7069	2887
355	7086	2866
356	7105	2846
357	7123	2825
358	7142	2805
359	7161	2784
360	7177	2763
361	7194	2742
362	7212	2722
363	7230	2701
364	7247	2680
365	7265	2659
366	7282	2639
367	7301	2618
368	7320	2598
369	7338	2578
370	7360	2559
371	7378	2538
372	7396	2518
373	7415	2498
374	7434	2478
375	7452	2457
376	7469	2436
377	7486	2416
378	7503	2395
379	7521	2375
380	7541	2355
381	7559	2335
382	7577	2314
383	7596	2294
384	7614	2274
385	7638	2255
386	7658	2236
387	7678	2216
388	7698	2196
389	7718	2176
390	7739	2157
391	7759	2137
392	7780	2118
393	7805	2100
394	7828	2080
395	7848	2061
396	7868	2041
397	7888	2021
398	7908	2001
399	7928	1982
400	7949	1962
401	7969	1942
402	7989	1923
403	8009	1903
404	8029	1883
405	8048	1863
406	8078	1845
407	8097	1825
408	8117	1806
409	8137	1786
410	8162	1767
411	8184	1748
412	8204	1728
413	8224	1708
414	8243	1688
415	8261	1668
416	8282	1648
417	8305	1629
418	8323	1609
419	8343	1589
420	8362	1569
421	8382	1549
422	8400	1529
423	8419	1509
424	8437	1488
425	8455	1468
426	8474	1448
427	8493	1428
428	8513	1408
429	8532	1389
430	8551	1369
431	8573	1349
432	8598	1330
433	8618	1310
434	8639	1290
435	8658	1270
436	8685	1252
437	8706	1232
438	8729	1213
439	8751	1193
440	8771	1173
441	8792	1153
442	8811	1133
443	8831	1113
444	8851	1093
445	8870	1073
446	8888	1053
447	8906	1033
448	8925	1013
449	8944	993
450	8964	973
451	8982	953
452	9000	933
453	9020	913
454	9042	894
455	9064	874
456	9086	854
457	9111	835
458	9130	815
459	9157	796
460	9182	776
461	9204	757
462	9229	737
463	9247	717
464	9267	697
465	9291	677
466	9318	658
467	9339	638
468	9361	618
469	9381	598
470	9405	579
471	9427	559
472	9447	539
473	9467	519
474	9487	499
475	9508	479
476	9527	459
477	9546	439
478	9566	419
479	9587	399
480	9606	379
481	9635	359
482	9655	339
483	9686	320
484	9708	300
485	9728	280
486	9749	260
487	9770	240
488	9793	220
489	9815	200
490	9834	180
491	9853	160
492	9873	140
493	9891	120
494	9911	100
495	9926	80
496	9942	60
497	9957	39
498	9973	19
499	9989	0
