,direction,property_type,legal_status,num_floors,num_bedrooms,road_width_m,width_m,length_m,area_m2,dining_room_bin,kitchen_bin,terrace_bin,car_parking_bin,owner_listing_bin,locality_square,locality_population_density,distance_to_center_km,nearest_school_km,school_count_3km,nearest_hospital_km,hospital_count_5km,nearest_marketplace_km,marketplace_count_3km,nearest_supermarket_km,supermarket_count_3km,nearest_mall_km,mall_count_3km,nearest_bus_stop_km,bus_stop_count_1km,nearest_metro_km,metro_count_5km,post_day_year,post_day_month,post_day_day
0,unknown,0,unknown,3.0,3.0,4.0,4.1,12.5,50.0,0,0,0,0,0,3.32,38.042,3.067975386545508,0.1536564277820822,117.0,0.3253671289426457,47.0,0.3173412790612379,16.0,0.127429078630904,61.0,3.0678526059733926,0.0,0.1082694455382833,47.0,2.0800873263501067,7.0,2026,5,23
1,unknown,1,unknown,10.0,15.0,30.0,5.537749241945384,16.61324772583615,92.0,0,0,0,0,0,3.04,15.468,0.6277042037044096,0.4752517013792162,114.0,0.3183914802084917,68.0,0.915369003541698,22.0,0.3312733645976148,97.0,0.690744449731313,15.0,0.0895344751277696,68.0,0.3523202858879943,7.0,2026,5,27
2,unknown,0,unknown,3.0,5.0,16.0,7.416198487095663,22.24859546128699,165.0,0,0,0,0,0,1.46,46.863,3.689531835435336,0.4288570629001585,154.0,0.3118117616331108,76.0,0.5711071626172188,19.0,0.2563639381331828,53.0,1.9454943767766408,6.0,0.1553122603368634,47.0,3.900284792001561,4.0,2026,5,27
3,unknown,1,so_hong_so_do,1.0,3.0,6.0,6.0,20.0,120.0,1,1,1,1,0,21.33,3.572,18.981265909737505,0.4280784417305304,11.0,3.4931253947015146,3.0,0.2548342903826288,1.0,,0.0,,0.0,0.1251590262960086,12.0,,0.0,2026,6,10
4,unknown,1,so_hong_so_do,2.0,4.0,12.0,4.0,15.0,60.0,0,0,0,0,0,1.23,39.45,1.8341731692460648,0.1037729567112353,143.0,0.3167659159924683,74.0,0.2917832726058462,27.0,0.1248165769533943,100.0,1.4754329743928578,13.0,0.1220474644889992,50.0,2.0311407966409747,6.0,2026,6,10
5,unknown,1,so_hong_so_do,1.0,3.0,7.0,5.0,18.0,90.0,0,0,0,0,0,32.4,5.665,7.48932886994524,0.6448315462720459,43.0,0.2380804425885271,37.0,2.021535451378851,9.0,1.92248837215138,5.0,1.961152241436052,3.0,0.1549795339773221,18.0,,0.0,2026,6,10
6,unknown,1,so_hong_so_do,6.0,100.0,7.0,10.0,45.0,446.0,1,1,1,1,0,4.61,41.368,3.938890870016373,0.1026391394111249,142.0,0.6244011765486238,76.0,0.389629664161238,41.0,0.0111438965873269,62.0,0.7192455313154356,10.0,0.2217875008797816,29.0,3.203953797566647,3.0,2026,6,10
7,unknown,1,so_hong_so_do,4.0,6.0,50.0,4.6,21.0,300.0,0,0,0,0,0,1.85,38.809,0.9030639858522528,0.1764317325313514,146.0,0.3786499075275946,88.0,0.3340491056014009,40.0,0.0243052720372051,101.0,0.3829654363777388,19.0,0.0311660268603045,104.0,0.1703670445237422,5.0,2026,6,10
8,unknown,1,so_hong_so_do,2.0,2.0,40.0,11.0,30.0,300.0,1,1,1,1,0,1.6,49.209,2.4556959745761966,0.3459743034941879,179.0,0.0153283944002021,91.0,0.5085132998948451,47.0,0.339885480764521,99.0,0.5212950285564317,20.0,0.106431556512389,75.0,1.7626609538487792,3.0,2026,6,9
9,unknown,1,so_hong_so_do,4.0,6.0,25.0,5.3,18.0,63.0,1,1,1,1,0,3.89,29.851,4.193692198045986,0.2964289749244463,89.0,1.0201470766061114,36.0,0.3530005832131173,14.0,0.2431588066858871,36.0,2.033952162050202,5.0,0.1253517781441358,48.0,3.0225326888196205,6.0,2026,6,9
10,unknown,1,unknown,1.0,1.0,12.0,16.0,20.0,320.0,0,0,0,0,0,3.32,38.042,3.067975386545508,0.1536564277820822,117.0,0.3253671289426457,47.0,0.3173412790612379,16.0,0.127429078630904,61.0,3.0678526059733926,0.0,0.1082694455382833,47.0,2.0800873263501067,7.0,2026,6,9
11,unknown,1,so_hong_so_do,3.0,1.0,30.0,8.0,38.0,260.0,0,0,0,0,0,2.86,46.242,5.663340741505686,0.1473476096176288,150.0,0.2979988637951992,66.0,0.497850949494493,20.0,0.8996613450039174,33.0,0.8561505937261217,4.0,0.0868121430323918,35.0,,0.0,2026,6,9
12,unknown,1,unknown,8.0,15.0,20.0,8.2,25.0,200.0,0,0,0,0,0,2.76,45.633,2.1822596604592133,0.1711869088091718,99.0,1.4231773041651654,47.0,0.3601758043190207,17.0,0.3160654149244814,56.0,2.343508123557825,12.0,0.0265506988051478,43.0,0.6903391017798891,7.0,2026,6,9
13,unknown,1,so_hong_so_do,8.0,200.0,40.0,40.0,50.0,2100.0,0,0,0,0,0,7.15,23.097,10.035873377548295,0.1202792003391393,62.0,0.7940570555249221,15.0,0.5785627489676628,14.0,0.4205129244284443,25.0,2.799053811152463,1.0,0.0417572740637905,37.0,,0.0,2026,6,8
14,tay_nam,1,so_hong_so_do,10.0,4.0,10.0,15.0,30.0,387.0,1,1,1,1,0,1.6,49.209,2.4556959745761966,0.3459743034941879,179.0,0.0153283944002021,91.0,0.5085132998948451,47.0,0.339885480764521,99.0,0.5212950285564317,20.0,0.106431556512389,75.0,1.7626609538487792,3.0,2026,6,8
15,unknown,1,so_hong_so_do,3.0,3.0,10.0,4.4,14.0,46.0,0,0,0,0,0,1.46,46.863,3.689531835435336,0.4288570629001585,154.0,0.3118117616331108,76.0,0.5711071626172188,19.0,0.2563639381331828,53.0,1.9454943767766408,6.0,0.1553122603368634,47.0,3.900284792001561,4.0,2026,6,10
16,unknown,1,unknown,4.0,6.0,6.0,14.0,25.0,303.0,1,1,1,1,0,15.33,5.021,3.242272702926816,0.4644541079433794,53.0,1.7631624559602346,30.0,0.9995120096449168,11.0,0.8095548246772732,32.0,1.6542081149097525,6.0,0.0886730542335018,24.0,1.6366304217427186,8.0,2026,6,10
17,unknown,1,unknown,4.0,4.0,35.0,8.0,37.0,304.0,0,0,0,0,0,2.86,46.242,5.663340741505686,0.1473476096176288,150.0,0.2979988637951992,66.0,0.497850949494493,20.0,0.8996613450039174,33.0,0.8561505937261217,4.0,0.0868121430323918,35.0,,0.0,2026,6,10
18,unknown,1,unknown,12.0,50.0,30.0,12.382783747337808,37.14835124201342,460.0,0,0,0,0,0,1.85,38.809,0.9030639858522528,0.1764317325313514,146.0,0.3786499075275946,88.0,0.3340491056014009,40.0,0.0243052720372051,101.0,0.3829654363777388,19.0,0.0311660268603045,104.0,0.1703670445237422,5.0,2026,6,10
19,unknown,1,unknown,2.0,8.0,30.0,16.492422502470642,49.47726750741192,816.0,0,0,0,0,0,2.22,21.831,15.393235082061002,0.3867559783659853,22.0,0.8596362622296551,10.0,0.7769995593581263,3.0,0.6430771394949081,2.0,2.6711640930473792,1.0,0.0144011546050566,37.0,0.8066791793236514,4.0,2026,6,10
20,unknown,1,so_hong_so_do,4.0,4.0,6.0,4.7,15.0,70.0,0,0,0,0,0,1.05,60.279,5.970700303605756,0.1924197960283857,182.0,0.8182903068587544,67.0,0.2140813915979963,43.0,0.7484065514244114,26.0,0.4514295837049246,6.0,0.0578438960653726,63.0,,0.0,2026,6,10
21,unknown,1,so_hong_so_do,4.0,5.0,4.0,3.0,10.0,29.0,0,0,0,0,0,1.86,40.663,4.370228574489283,0.0955705753485068,206.0,0.1150888925261856,81.0,0.6282825210251768,52.0,0.4252140092931471,51.0,0.3993011928725213,11.0,0.1348810061078803,90.0,3.78649852564279,2.0,2026,6,10
22,unknown,1,so_hong_so_do,4.0,6.0,8.0,4.8,14.5,67.0,0,0,0,0,0,1.27,71.502,5.4981550614595305,0.3204995810511588,207.0,0.5868423168400075,76.0,0.3265487813943404,56.0,0.799803845128039,30.0,0.4132707628110579,5.0,0.0904268144777127,79.0,4.964989669818176,1.0,2026,6,10
23,unknown,1,so_hong_so_do,2.0,4.0,5.0,5.0,16.8,81.0,0,0,0,0,0,1.28,49.645,3.014593454140083,0.3241044718172312,169.0,0.3112080841955486,82.0,0.159361009708267,44.0,0.7452963371051138,87.0,1.0997159326303276,20.0,0.1351310290030301,57.0,2.2897201696442395,3.0,2026,6,10
24,unknown,1,so_hong_so_do,3.0,4.0,8.0,6.0,13.4,80.0,1,1,1,1,0,1.23,39.45,1.8341731692460648,0.1037729567112353,143.0,0.3167659159924683,74.0,0.2917832726058462,27.0,0.1248165769533943,100.0,1.4754329743928578,13.0,0.1220474644889992,50.0,2.0311407966409747,6.0,2026,6,10
25,unknown,1,so_hong_so_do,6.0,12.0,30.0,4.0,16.0,350.0,0,0,0,0,0,1.85,38.809,0.9030639858522528,0.1764317325313514,146.0,0.3786499075275946,88.0,0.3340491056014009,40.0,0.0243052720372051,101.0,0.3829654363777388,19.0,0.0311660268603045,104.0,0.1703670445237422,5.0,2026,6,10
26,unknown,1,unknown,4.0,6.0,25.0,14.560219778561036,43.68065933568311,636.0,0,0,0,0,0,1.46,46.863,3.689531835435336,0.4288570629001585,154.0,0.3118117616331108,76.0,0.5711071626172188,19.0,0.2563639381331828,53.0,1.9454943767766408,6.0,0.1553122603368634,47.0,3.900284792001561,4.0,2026,6,10
27,unknown,1,so_hong_so_do,4.0,10.0,30.0,8.2,21.0,150.0,1,1,1,1,0,1.32,61.537,3.697926043243007,0.1718438296278109,193.0,0.0808248175898799,81.0,0.0685624175584255,51.0,0.0700867890565216,70.0,0.0913558508966055,13.0,0.1041175126627032,91.0,3.0810228719302075,3.0,2026,6,10
28,unknown,1,so_hong_so_do,6.0,10.0,20.0,4.0,18.0,69.0,1,1,1,1,0,1.6,49.209,2.4556959745761966,0.3459743034941879,179.0,0.0153283944002021,91.0,0.5085132998948451,47.0,0.339885480764521,99.0,0.5212950285564317,20.0,0.106431556512389,75.0,1.7626609538487792,3.0,2026,6,10
29,unknown,1,so_hong_so_do,2.0,5.0,8.0,5.0,16.0,74.0,1,1,1,1,0,3.37,38.239,5.46912316211403,0.1755650750818743,64.0,0.5239478647461463,29.0,0.2455413210050974,9.0,0.5342557500688416,21.0,0.5562563546935235,7.0,0.1171643981009367,51.0,4.531780440683517,1.0,2026,6,10
30,unknown,1,so_hong_so_do,3.0,6.0,7.0,5.2,13.0,68.0,0,0,0,0,0,1.47,63.563,5.296094010010538,0.3293909178795859,190.0,0.7484597010440791,73.0,0.3425126883551349,36.0,0.6680584419698719,40.0,2.0515685369722894,3.0,0.2067801056731984,29.0,5.088364417881627,1.0,2026,6,10
31,unknown,1,so_hong_so_do,4.0,4.0,6.0,6.7,14.0,93.0,0,0,0,0,0,3.04,15.468,0.6277042037044096,0.4752517013792162,114.0,0.3183914802084917,68.0,0.915369003541698,22.0,0.3312733645976148,97.0,0.690744449731313,15.0,0.0895344751277696,68.0,0.3523202858879943,7.0,2026,6,10
32,unknown,1,so_hong_so_do,5.0,6.0,30.0,6.0,11.0,66.0,1,1,1,1,0,0.99,68.299,1.4236699663337584,0.1008944875666734,173.0,0.3035788053231241,86.0,0.4773062638854318,46.0,0.3947019809617943,113.0,0.604291039900539,18.0,0.0891303616822696,90.0,1.0394068894087325,5.0,2026,6,10
33,unknown,1,so_hong_so_do,2.0,4.0,6.0,5.0,11.6,58.0,0,0,0,0,0,8.54,17.995,3.764312728013464,0.2360260451499563,97.0,0.4736105969004009,67.0,0.3171627427461208,16.0,0.1859919409307253,56.0,1.4402946693934526,5.0,0.1990206872568495,36.0,3.153107751463492,3.0,2026,6,10
34,unknown,1,so_hong_so_do,3.0,5.0,6.0,8.0,20.0,160.0,0,0,1,1,0,1.23,39.45,1.8341731692460648,0.1037729567112353,143.0,0.3167659159924683,74.0,0.2917832726058462,27.0,0.1248165769533943,100.0,1.4754329743928578,13.0,0.1220474644889992,50.0,2.0311407966409747,6.0,2026,6,10
35,unknown,1,unknown,4.0,4.0,6.0,4.0,15.0,52.0,1,1,1,1,0,16.01,13.469,9.34716233130603,0.1521961750599395,23.0,1.4315280024821837,8.0,0.5794223263858904,3.0,1.240924772029185,6.0,3.386619312596045,0.0,0.0454686379845107,14.0,,0.0,2026,6,10
36,unknown,1,so_hong_so_do,2.0,2.0,12.0,4.2,24.0,100.0,1,1,0,1,0,3.29,34.553,9.610839906253789,0.0506350961840065,59.0,1.988654967421979,9.0,0.5851174066101005,6.0,0.9285346601064232,7.0,3.024858762472106,1.0,0.1791539231086523,31.0,,0.0,2026,6,10
37,unknown,1,so_hong_so_do,3.0,4.0,6.0,4.0,20.0,80.0,0,0,1,1,0,8.54,17.995,4.008093297011413,0.2680465501888464,102.0,0.1475899400406389,67.0,0.8599180478435137,18.0,0.4467751131948497,53.0,1.3099252885889177,6.0,0.2719928824366653,22.0,3.341878836737862,3.0,2026,6,10
38,unknown,1,so_hong_so_do,4.0,5.0,5.0,4.0,18.0,72.0,0,0,0,0,0,1.23,39.45,1.8341731692460648,0.1037729567112353,143.0,0.3167659159924683,74.0,0.2917832726058462,27.0,0.1248165769533943,100.0,1.4754329743928578,13.0,0.1220474644889992,50.0,2.0311407966409747,6.0,2026,6,10
39,unknown,1,so_hong_so_do,3.0,4.0,6.0,4.0,14.0,56.0,0,0,1,1,0,1.27,71.502,4.900812964372645,0.1332499124197248,216.0,0.4897450459678438,78.0,0.3167636023806358,56.0,0.3748269937301162,34.0,0.8098316786329234,9.0,0.1345209311638022,69.0,4.396130561461806,2.0,2026,6,10
40,unknown,1,unknown,4.0,10.0,30.0,8.5,28.0,230.0,1,1,1,1,0,2.22,21.831,2.2896943730867028,0.2692862053339944,157.0,0.4272303860638807,80.0,0.4498726492118163,33.0,0.4727236156339341,96.0,1.545056961267051,14.0,0.1453706473294013,51.0,2.5048101852370164,5.0,2026,6,10
41,unknown,1,so_hong_so_do,5.0,4.0,7.0,4.0,16.0,64.0,0,0,0,0,0,1.67,50.938,5.211147240599507,0.0448837526808615,192.0,0.1352890741280146,76.0,0.3130113778004277,51.0,0.4491916881533389,30.0,0.4629546328544709,9.0,0.050319660745991,68.0,4.607163360677046,1.0,2026,6,10
42,unknown,1,so_hong_so_do,4.0,4.0,30.0,18.5,23.5,431.0,0,0,0,0,0,1.6,49.209,2.5165574682638794,0.2382065710618411,175.0,0.2720899200508758,85.0,0.3475292585322981,43.0,0.4376213933605064,91.0,0.8076369151653383,20.0,0.1129257955810679,70.0,1.7964196622512754,3.0,2026,6,10
43,unknown,1,so_hong_so_do,2.0,4.0,5.0,5.5,13.0,71.0,0,0,0,0,0,1.27,71.502,6.347405962345484,0.2897405349640682,193.0,0.4641694033834687,67.0,0.534930568813806,44.0,0.8095463326053062,28.0,0.9979682168216238,5.0,0.0696003370800699,70.0,,0.0,2026,6,9
44,unknown,1,so_hong_so_do,3.0,4.0,5.0,4.3,15.0,65.0,0,0,0,0,0,1.86,40.663,4.177717404417766,0.1321456498930087,217.0,0.6222421286803709,83.0,0.0770050538488039,55.0,0.1406451216433702,58.0,0.7120967895816094,8.0,0.1383351558074551,65.0,3.732512409760755,3.0,2026,6,9
45,unknown,1,so_hong_so_do,3.0,3.0,6.0,4.5,13.0,59.0,0,0,0,0,0,2.22,21.831,1.3842360927551391,0.1362858508209465,177.0,0.392725688709276,81.0,0.8309996539468081,44.0,0.306041499917031,114.0,0.4875412983036777,17.0,0.0903504268932904,90.0,1.56192760975934,5.0,2026,6,9
